Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520025699893,0.720644535134,0.833040098674,0.932145679467,1.0850433351,1.20877265357,1.38033814025,1.47908406872,1.5890933537,1.71583812981,1.80507321447,1.91374998643,1.97141071103,2.05555662762,2.10996204576,2.17907328423,2.21612096662,2.25473898576,2.29339225205,2.31551749698,2.36076077863,2.37461839376,2.41508890772,2.4232929581,2.45958602969,2.46568919031,2.50332690537,2.50789754191,2.54313166058,2.54288683612,2.57614108641,2.58949162407
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307383,26159.986316,28269.6518789,30381.9156367,34669.0529499,37145.5276276,39524.5741892,40377.8691922,42256.4160497,42278.8564857,39302.2534534,35804.8559622,32510.6648318,30216.3403751,28447.6577041,26429.8234237,24951.0845574,23594.9992978,22187.0322123,20863.7648451,20608.1942254,20926.4410869,20905.3054199,20946.2957709,20876.2992629,20288.239701,20213.2554656,20092.2127566,19611.9314457,19744.0574399,19648.9903803,19508.5363185,19920.3997383,20060.6599555
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444246,20196.3956757,22427.1592514,24760.4421915,28504.1923047,30957.0207675,32917.4521395,33883.8204402,35309.0783168,35710.8921128,31977.9953037,27800.5924825,24158.0112525,21028.839325,18395.9217767,16159.867789,14343.1888753,12782.8970322,11521.9234881,10470.0840683,9849.46213642,9768.67500995,9879.12927048,9878.6205371,9812.38620732,9552.65114008,9257.42496373,8918.80695643,8568.14205488,8179.06348624,7920.60367936,7644.33291789,7345.15889444,7159.48986316
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.70836773,5507.5673492,5269.29184834,4895.04559012,5206.6202804,5022.27199933,5091.13794067,4834.77573404,4891.09353149,4381.59064612,4852.09526918,5206.80476483,5676.44199476,6100.2338735,6457.26608605,6388.19500997,6265.97034283,6141.72076051,5847.37961896,5469.51912864,5739.99457091,5888.75468179,5690.27282711,5416.73839247,5176.15155816,4898.19263571,4691.99627746,4492.81919085,4417.7686691,4367.62347314,4421.29785493,4410.84332642,4564.08076057,4552.49156373
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615735,25.9334164638,30.9785824205,66.5454851765,308.126747273,789.788776232,1573.3070061,2297.27855238,2847.41990853,3803.74193874,4774.08895763,5795.41439366,6657.48525848,7187.76995418,7617.86053661,7870.32603776,7955.31029708,7867.21336029,7982.60324029,8082.60234786,8191.6988352,8343.3714716,8495.18797951,8607.85015503,8613.65605019,8602.61942404,8512.05583241,8423.81898799,8360.13422785,8484.51400949,8561.06051984
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.438442632555,15.2615915909,126.839517188,413.82494502,822.127128608,2123.18694227,4099.93308125,5670.99232538,6750.5057637,8278.61247405,9466.79842103,10541.3065699,11550.8569521,12347.4130703,12849.6593014,13213.6338342,13536.5918257,13806.6260175,14043.715932,14436.3060909,14903.454886,15378.0198211,15929.4869172,16323.7103521,16611.0321927,16732.4294468,16928.3106523,17267.0591915,17674.9362246,18000.7232276,18387.8294902
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590925186,15.1052816099,25.9077068384,38.4476110939,48.1158047785,125.413433549,176.176961405,220.570671965,304.210011566,257.615867229,362.970059105,629.898362715,1153.89394516,1753.64258109,2411.58865819,3059.21789747,3617.47424234,4141.87908421,4605.4972567,4955.50191754,5511.24365614,6235.40032086,6897.08128045,7350.41600074,7681.7559964,7829.70650358,7796.81874573,7829.07981478,7810.67764551,7708.20195692,7622.04644486,7541.01659627,7520.76330931,7460.07639674
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222389,13.6546329976,23.2798922497,35.2627625749,43.5721863538,114.231361738,162.149851618,204.86294414,282.201613314,245.888479786,335.196082277,579.080507226,1057.57498795,1617.67143986,2250.93806025,2886.75465566,3449.18377653,3962.15574789,4445.41730502,4824.49352126,5322.71576169,6023.62040488,6709.2148943,7161.15814705,7546.75774586,7739.70711871,7738.24446831,7741.16839429,7756.03529955,7651.18404605,7582.65606843,7478.14521649,7494.13478691,7433.4557502
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Coal,c$,2211946000000.0,2141771452570.0,2199576911590.0,2483710711210.0,2798104479430.0,3369116475810.0,3790357931800.0,3922268853930.0,3960248992110.0,4143930113030.0,4143451463580.0,3446083318810.0,2680117886210.0,2078968288200.0,1608583042620.0,1243995617350.0,960133953689.0,740398976672.0,570487032295.0,438935484437.0,336888131788.0,259063516910.0,199525757503.0,152944044160.0,117183781424.0,89635628960.6,68666947029.1,52619088992.6,40295477298.3,30903089850.4,23716468726.6,18209843448.6,13995615135.6,10756369932.8,8282251448.74
FRIDAv2.1,HD_ER_RCP85_2_CDD_30_20,World,Capacity|Gas,c$,2103942000000.0,2270738765840.0,2619936432160.0,3053303324710.0,3368823500810.0,3781893973390.0,4031253978270.0,4471709497360.0,4796818369060.0,5173732009460.0,5389375057140.0,5439214011780.0,5349144140070.0,5093344358120.0,4802905544160.0,4450759405860.0,4066237977890.0,3669904567410.0,3285434777670.0,2911813967600.0,2580450472220.0,2345738741660.0,2258813233600.0,2245601045640.0,2203612543870.0,2136854272130.0,2034413197450.0,1918365852820.0,1772171065780.0,1637734472510.0,1505885898860.0,1392847101050.0,1270791184660.0,1160498811570.0,1048694348920.0
