Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114668,0.520025699893,0.720644535134,0.833040098675,0.932145679467,1.0850433351,1.20877265357,1.38012967121,1.47866277548,1.58836171828,1.72024474808,1.81548650995,1.92760889484,1.98914343023,2.07679992145,2.13337760261,2.20553630518,2.24557117743,2.29055607471,2.33536108834,2.35834227348,2.40610377851,2.4252462105,2.47394922184,2.47968673514,2.52491882864,2.53980406649,2.58111803924,2.58214074644,2.63054378881,2.63414650528,2.66674026053,2.68094958297
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307382,26159.9863159,28269.6518789,30381.9156367,34669.0529506,37145.5276275,39524.5741892,40362.2463629,42447.2074225,42874.7559783,40858.6591069,37478.6798707,34308.5262882,32108.7427842,29595.5884803,27238.3031069,25450.8193929,23312.6349524,21633.139265,20226.3305095,19052.3978175,18761.6959437,18685.999918,18474.8676352,18494.5340502,18220.5935324,17909.9156569,17707.1406776,17383.1660162,17184.6529203,17066.1740038,17047.0214024,17155.7831804,17085.6033123
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444245,20196.3956757,22427.1592513,24760.4421915,28504.1923049,30957.0207675,32917.4521396,33867.649777,35528.8895962,36308.3363692,33580.8994008,29778.8498186,26291.3403303,23227.6975497,20549.952411,18065.2890238,15926.174621,14007.433894,12364.8376633,10898.8479431,9872.56895453,9405.12075301,9192.63510057,9035.59476554,8836.16110275,8587.73781761,8270.95298633,7887.11388494,7509.02435464,7143.42004171,6793.92554344,6450.28705822,6140.09633998,5806.88194132
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.70836772,5507.5673492,5269.29184841,4895.04558976,5206.6202804,5022.27199933,5091.13794061,4829.2359184,4875.63797808,4351.85814788,4758.16869847,4953.32612941,5227.02765611,5514.26135188,5525.3751112,5391.70359774,5238.79240716,4996.19513808,4676.17777925,4490.81926231,4349.88411358,4318.63775183,4289.0040152,4205.71118782,4107.22453635,4008.9245938,3906.77390724,3825.7009344,3842.69642184,3834.21224915,3899.92175771,3893.94101402,4015.88544188,4046.56272011
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615737,25.9334164467,30.9785824233,66.545485199,308.126747263,719.024396988,1332.14143251,2081.71468491,3026.98742702,3966.25063494,4790.08761397,5453.75570252,5885.35377854,6152.47937021,6319.85473146,6408.55036544,6550.72554524,6613.63394441,6610.51050206,6721.63533269,6912.31509708,7155.47273594,7422.47136272,7637.8352003,7742.97087369,7791.89496039,7850.1352456,7915.73682195,8045.27093392,8179.55356019,8305.76202242
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.438442632582,15.2615915908,126.839517189,413.824945018,822.127128604,1348.02478903,2011.09709471,2675.91726602,3422.29151701,4129.99914129,4729.44691465,5174.27100228,5451.24818043,5578.12454938,5606.86087092,5608.40286573,5601.79000236,5559.36087566,5471.74311772,5447.04583194,5512.25112932,5628.71218222,5750.73536823,5821.99187472,5858.78419658,5848.07440355,5821.57733002,5823.42389929,5848.56618393,5922.48002577,5976.60051157
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590925192,15.1052816322,25.9077068445,38.4476110948,48.1158047787,125.413433549,176.176961479,220.325017098,280.96524141,225.213643515,285.590151689,509.029148193,835.516675626,1219.0337953,1600.95908871,1922.06461823,2177.54742291,2366.60887473,2481.23916645,2547.35027569,2614.44403504,2720.24908717,2857.13066388,2980.52698369,3087.63124536,3150.26281752,3179.19512659,3180.12360882,3175.90237997,3173.66906624,3183.06646299,3186.5865583,3184.43161557,3173.31235297
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222392,13.6546329904,23.2798922267,35.2627625348,43.5721863514,114.231361811,162.14985165,204.678680196,260.954671085,215.528569362,264.188854751,469.575554321,774.844114358,1137.47001385,1510.65258439,1830.63795059,2096.59641903,2290.29076025,2418.62269464,2492.73703128,2563.93395955,2667.25785555,2806.59556661,2931.14860417,3045.70410942,3123.82902863,3150.74722494,3161.48501194,3155.08247788,3158.81767594,3167.30671134,3171.39567612,3172.55640098,3163.42387541
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Coal,c$,2211946000000.0,2141771452550.0,2199576911580.0,2483710711240.0,2798104479450.0,3369116475790.0,3790357931800.0,3922268853850.0,3958843703550.0,4180622472820.0,4255925688410.0,3677767985970.0,2880531633980.0,2233000686830.0,1728068141810.0,1335390027080.0,1032233434380.0,795887939591.0,612593646622.0,471438832197.0,362031350705.0,291094591358.0,308251561520.0,371830201272.0,437895933005.0,486801980198.0,520498764473.0,541354232582.0,552854230843.0,552171303698.0,542272809275.0,523952426789.0,491571718512.0,457958258064.0,416483998042.0
FRIDAv2.1,HD_ER_RCP26_1_CDD_30_20_nCAP,World,Capacity|Gas,c$,2103942000000.0,2270738765800.0,2619936432160.0,3053303324730.0,3368823500760.0,3781893973410.0,4031253978970.0,4471709497340.0,4795007013440.0,5262688527370.0,5567778860400.0,5803916979110.0,5904335360470.0,5868309335160.0,5768529899010.0,5588119690250.0,5312832769980.0,4998406677930.0,4650277898250.0,4300071478380.0,3949264168170.0,3677381633750.0,3522558412450.0,3444633975390.0,3371569203470.0,3289483334140.0,3187296489440.0,3074065705800.0,2942871797770.0,2812162050800.0,2700621991110.0,2582868786880.0,2473752915140.0,2370041599710.0,2271648014360.0
