Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Temperature Anomaly,K,0.328859443923,0.312479527676,0.503750114669,0.520025699891,0.720644535134,0.833040098676,0.932145679468,1.0850433351,1.20877265357,1.38020474744,1.47932884756,1.59071960916,1.71710799537,1.80692244719,1.9162050577,1.9777235926,2.0634023474,2.12045535903,2.19399350349,2.2273301085,2.26632525377,2.3094233711,2.33115895817,2.38078917745,2.39130299907,2.43032987706,2.43865932945,2.48310794281,2.49156665661,2.5230874642,2.52260506111,2.56177527879,2.5571284843,2.58481687144,2.602532186
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,CO2 Emissions,MtCO2/Year,25448.8367189,24116.9307384,26159.9863159,28269.6518789,30381.9156367,34669.0529506,37145.5276275,39524.5741892,40424.6668428,42633.6157573,42437.3448626,39683.8504232,35985.4818178,33224.6946126,31595.8492212,30957.7557192,28959.7652846,27454.9641184,25960.8570095,24239.6096917,22675.7943032,22389.62273,22496.398329,22456.8589625,22742.1058465,22362.8082106,21866.5398383,22223.8973184,21627.2496468,21180.5764868,21162.0372117,20916.8505509,20676.8244505,21190.4141968,20887.2566823
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,CO2 Emissions|Energy,MtCO2/Year,18817.6765562,18940.1444243,20196.3956757,22427.1592513,24760.4421915,28504.1923049,30957.0207675,32917.4521394,33920.7838624,35610.1251408,35804.9147941,32083.0540796,27954.0906025,24526.8395189,21570.5829547,19155.2654465,17191.5204212,15535.727578,14182.6796756,12960.1613549,11874.1081976,11155.0284232,11082.5243048,11173.0318563,11253.9813958,11089.6997014,10858.9363938,10574.7642533,10218.5212606,9729.64686262,9214.40625336,8773.93008234,8351.65605229,8058.1257553,7684.78434206
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,CO2 Emissions|Food and Land Use,MtCO2/Year,6220.03386989,4792.70836771,5507.5673492,5269.29184837,4895.04558977,5206.62028038,5022.27199936,5091.13794088,4849.07238511,4995.56308791,4472.00066977,5033.98384378,5305.91200446,6164.54553614,7053.4781025,8230.87543493,8021.43816648,7522.69341267,7083.23064107,6435.14428733,5927.49554872,6093.4825311,6205.58837322,6043.21198618,5740.59482541,5395.46376356,5058.49099836,4770.52080679,4591.35950215,4438.87433395,4454.20761093,4395.14279302,4374.90092911,4418.70866545,4391.29505913
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Electricity|Solar,GW,0.745,0.655643004974,0.558958979955,0.444540820899,4.12547615735,25.933416451,30.9785824241,66.5454852074,308.126747243,1233.83874978,2307.31441753,2883.20775204,3461.16323062,4629.62320137,5706.04713648,6695.43369106,7688.67187401,8320.88731213,8622.68264536,8700.16023336,8602.26616516,8492.11473428,8390.61182134,8262.88612842,8331.19688551,8472.91508249,8560.10022062,8867.93480365,8881.02001614,8982.03674274,8769.56621172,8541.91636198,8404.33294636,8204.80094599,8059.88037446
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Electricity|Wind,GW,0.745,0.655643147651,0.55895977894,0.444542089037,0.438442632573,15.2615915893,126.839517193,413.824945019,822.127128605,2792.89817578,4968.9874675,6123.18963797,7169.78358758,8837.85941462,10119.904278,11408.4548043,12687.9169544,13885.6711214,14608.7666948,15095.7209339,15403.0510096,15811.8319045,16214.2647013,16578.4637971,17175.7448661,17792.5104551,18686.1549955,19528.7506655,20608.0087068,21578.787159,22115.4999867,22840.2380594,23783.3200798,24363.1883122,25246.9929616
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Biomass,Mt/Year,5.003001751,17.1590924747,15.1052815869,25.9077068304,38.4476110948,48.1158047788,125.413433549,176.176961471,221.281552896,366.923740767,353.250884844,471.599054165,776.094736162,1503.88276232,2322.48794089,3323.35614167,4309.60269033,5184.18367043,5951.12942409,6520.25130963,6957.55237885,7524.63771912,8245.64550649,8895.15076968,9331.70461077,9667.76245922,9844.92570975,9874.57564578,9703.01550124,9375.71140527,9054.67429784,8615.13439369,8270.19635967,7992.83353153,7624.19073779
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Production|Biomass,Mt/Year,4.43241478485,15.4535222391,13.6546329944,23.2798922814,35.2627626084,43.5721863468,114.231361804,162.149851637,205.247941656,338.934075003,338.245376304,435.581169331,712.87618723,1362.56356003,2109.51807362,3013.87860313,3992.62436374,4918.91996164,5691.40259266,6312.84948299,6795.20947655,7257.06102095,7957.54306542,8638.54331269,9128.37958275,9494.18549373,9666.32014007,9786.98190792,9626.53268641,9349.01917947,9036.00538289,8586.27695357,8261.3060355,7989.46544193,7686.03714438
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Coal,c$,2211946000000.0,2141771452560.0,2199576911590.0,2483710711260.0,2798104479440.0,3369116475810.0,3790357931800.0,3922268853930.0,3963396940160.0,4172997126800.0,4148352811620.0,3449376053240.0,2685479237930.0,2091733081910.0,1619174911560.0,1252194869090.0,966477951395.0,745677324528.0,574312417503.0,441959580197.0,339223742563.0,261027365264.0,201101970938.0,154284642550.0,118208669257.0,90586429200.7,69437618511.2,53162095218.7,40774101772.1,31251225784.7,24007860010.0,18444222158.8,14177738348.2,10907994740.6,8391453801.7
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Gas,c$,2103942000000.0,2270738765790.0,2619936432160.0,3053303324720.0,3368823500780.0,3781893973410.0,4031253978800.0,4471709497330.0,4802652814090.0,5213752274130.0,5397472538010.0,5442271814130.0,5355268830770.0,5119260396300.0,4823802234720.0,4467051023730.0,4072290494240.0,3672408772860.0,3284811317470.0,2907648406380.0,2578424600900.0,2335811180480.0,2199374560460.0,2098415644890.0,2003291692890.0,1875812845010.0,1737333991580.0,1617725881330.0,1472196257650.0,1361927799540.0,1222573690800.0,1114894047920.0,1021062188250.0,910918934084.0,833670851797.0
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Oil,c$,7580940000000.0,7626432175260.0,8209071634740.0,8794477759610.0,9410274318970.0,10238604414100.0,10344383828700.0,10913688749400.0,11021471179200.0,11064339403800.0,11034691302900.0,10464074951700.0,9709779459060.0,8924669630840.0,8140351838310.0,7375280637610.0,6635745064030.0,5969034187540.0,5365370659780.0,4807256510290.0,4253465458620.0,3833602977540.0,3576561913550.0,3383432627870.0,3231872474550.0,3052586891620.0,2899814964380.0,2755548652950.0,2631752382790.0,2515476077780.0,2427402352140.0,2350535773350.0,2282735775360.0,2219572893070.0,2134975290340.0
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Electricity|Hydro,GW,478.7482363,555.965559928,623.724439146,695.907287155,745.90952147,811.510182345,929.766979062,1082.62400607,1194.8784091,1223.30235508,1171.02085743,1186.64832864,1260.89744088,1347.16142829,1425.07958746,1485.04824717,1522.58672019,1545.52108093,1553.64565213,1549.28803766,1537.5416242,1533.2686205,1552.20857573,1575.72563988,1586.87594592,1587.75244061,1581.83213901,1565.50088427,1548.56712653,1529.98309268,1513.37016305,1501.91595132,1487.55746503,1468.49962417,1457.44882055
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Capacity|Electricity|Nuclear,GW,97.55787685,164.467258319,222.428016633,294.034981032,339.112645213,351.469048603,358.177547161,366.277613784,387.200931322,408.25807195,654.438620063,1052.81734239,1655.17029675,2406.82440557,3302.5284986,4230.92095255,5090.05736177,5919.30397351,6647.43380624,7310.2622651,7885.23576811,8267.83964477,8451.40693983,8584.9695793,8697.4914301,8792.66025234,8820.54606953,8841.81066684,8769.97784454,8709.2595795,8644.04067153,8639.20868121,8597.4727603,8500.73938041,8480.60074768
FRIDAv2.1,HD_ER_RCP85_4_CDD_30_20,World,Secondary Energy,TWh/Year,28004.950064,29221.1590704,32130.7259293,36470.9426711,40782.4590421,47147.9782318,52226.8302188,58187.8811065,58809.274012,67953.2984349,76122.0629789,78064.8389088,73497.6678081,79048.6966345,84571.7520244,91409.222706,98504.8393012,104958.868699,109674.332284,113003.728772,115296.165502,117094.019287,118834.076278,121143.620587,123707.986223,126077.173371,127796.812795,128624.189604,129215.12121,129181.914074,128948.690436,128864.591301,129380.292167,130114.853149,130855.740365
