Model,Scenario,Region,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
FRIDAv2.1,HD_D1_20_10_Limit,World,Temperature Anomaly,K,0.502528567101198,0.5140065786987995,0.6756807015853998,0.6752734085331998,0.8737040504141999,0.964065778064,1.06037143559,1.228082097738,1.3710607736059996,1.5862025439279996,1.755115180992,1.939415772616,2.1571196277039997,2.330316712112,2.508198657678,2.6429411480899994,2.7920636568119996,2.910659653564,3.0508328052379996,3.151966868176,3.2587559502239998,3.366390603242,3.45856878304,3.559256882428,3.6323814191439996,3.7186839321039984,3.785054124923999,3.8642243814159984,3.917437807351999,3.9976666945579997,4.063611312405999,4.172249303914,4.250565742648,4.339236476809998,4.414125325953999
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions,MtCO2/Year,26424.6374219,25222.597218739997,26634.221195719998,28767.89413108,31119.43593994,35595.25437116,38588.64782626,41128.51196438,42412.88315896,44617.39533718,45021.22601786,42149.110657499994,37991.120908139994,34943.8320459,32320.63019404,30315.117628759996,28207.81449378,26156.188906839998,24595.559172319998,23382.73416564,21304.8760145,20372.05330578,21153.5821514,21055.214243699997,21831.294179739998,22958.58091274,23064.75541748,23620.539165039998,24081.598372959998,24560.547600299993,24559.161247919998,25053.13211149998,25675.826402099992,25772.123105839997,26028.217053459994
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Energy,MtCO2/Year,18847.916614460002,19119.99196082,20461.82313416,22800.531627480002,25375.91502008,29307.66750398,32095.00700954,34261.843421159996,35486.0951139,37144.222949979994,37791.1716828,34017.29548,29442.336699339998,25499.73110604,22150.3149105,19337.78498234,16906.78367912,14891.43711318,13109.82573382,11449.7230244,10002.414133084,8962.074495128,8517.260761455998,8301.420566518,8146.033829513999,7988.395178337999,7776.761081113999,7544.490011844,7323.976964488,7069.504315345999,6841.274570755998,6616.52837724,6387.713755929999,6183.48643186,6008.476145061998
FRIDAv2.1,HD_D1_20_10_Limit,World,CO2 Emissions|Food and Land Use,MtCO2/Year,7196.686996262,5895.026438983999,5887.86649855,5645.585280978,5191.922809666,5521.2185287639995,5351.52492015,5428.585280269999,5189.83373161,5292.461212346,4761.6462509,5220.871867776,5525.25097718,6118.593187578001,6566.0980612719995,6735.01607585,6587.880269861998,6310.783070978,5861.229564687999,5391.227164482,5102.228883377999,4963.785881414,5136.730979186,5227.945241378,5110.752692712,5135.886289853999,5116.113196147999,5126.010457633997,5244.059350047998,5290.6485540779995,5286.215257461999,5346.890571032,5338.585614719999,5407.7232366599965,5335.053885273997
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Solar,GW,0.745,0.6556544279288,0.5589871513806,0.4445817949436,5.000246505548,34.63014694955999,56.56091234461999,148.1927190963999,515.8862385704,1062.231046928,2601.025665811997,4080.850974259998,4523.438883135998,6251.515416449999,8170.305254842,10394.831089839996,12618.433097239998,14560.470679879996,15803.983041559992,15449.997717059992,14693.332166179998,14105.141894239998,14119.215807579993,14683.85750642,15679.453449559996,16775.24456093999,17511.67530462,17690.737338,17828.441336999997,17877.944748379996,18280.22648501999,18756.699501739986,19038.464929719994,19387.513494819996,19684.493668099996
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Electricity|Wind,GW,0.745,0.6556546462342,0.5589880095199999,0.46405601933779955,0.5013452919651997,17.87772858752,146.58495854539996,463.8211656454,935.1402731623998,1740.207751732,4596.363451742,6769.5056285879955,6680.690411086,8752.782273154,10845.48854302,12924.92200416,15049.16100968,16740.42472294,17611.05453528,16819.680767139995,15724.140132419992,14546.83648658,14029.967505539997,14194.67163098,15051.78916103999,16006.813757259994,16675.865114259996,16913.899839659993,16858.63375148,16843.511408219987,17044.699397919998,17448.736532339994,17909.75835051999,18223.871422339995,18879.330826319965
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Biomass,Mt/Year,6.3826063296,22.10499200198,20.23278168084,32.85986840197999,45.87302037905999,55.70220368554,137.43141382459999,191.91110160719995,246.5511246266,315.4994379576,251.57651330679997,336.6004846736,568.5437277033999,1081.4921571459997,1647.6803025119998,2232.446404974,2763.020577949999,3178.53600416,3474.07101093,3489.768657882,3430.7015672299995,3417.399976164,3539.3738682139997,3736.3762655479995,3932.231138334,4094.271059779999,4196.957087725998,4242.579459934,4268.635893735999,4296.210944776,4327.547149872,4358.999869318,4369.136158805997,4386.149628029999,4404.040583835999
FRIDAv2.1,HD_D1_20_10_Limit,World,Production|Biomass,Mt/Year,5.6649027325359995,19.848926415079998,18.294046738619997,29.77530413616,42.08610594298,50.368141269759995,125.19912726039999,176.4568813962,227.78829586319998,291.3201699568,240.50832569499997,311.5875254092,520.983777645,988.14316532,1514.1072101519999,2079.570830946,2620.0910067399996,3039.2761574079996,3360.210766956,3408.5121118479988,3372.275814576,3363.2331581179997,3459.235720538,3650.334511035999,3845.8106585979995,4016.480230502,4121.9035777399995,4180.167047166,4204.762842971999,4236.901387151999,4274.602835752,4318.74564344,4327.19286434,4358.445097878,4371.4000634939985
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Coal,c$,2213282600000.0,2166767780152.0,2238177034488.0,2530162373568.0,2866571868440.0,3455718890958.0,3920920138536.0,4078132486837.9995,4149506389328.0,4384536774278.0,4444945173682.0,3723220359062.0,2899160953733.9995,2246331385286.0,1736326405302.0,1342345168730.0,1036487955876.0,800281606116.4,616923474950.0,473972224763.4,363941559022.6,279598415039.8,216041008969.6,165961819026.8,127323377621.59999,97728894442.01999,75264868791.12,57875301594.34,44418459830.32,34107609975.199997,26200999882.48,20123367599.100002,15485857720.7,11922970337.98,9180153457.251999
FRIDAv2.1,HD_D1_20_10_Limit,World,Capacity|Gas,c$,2106686800000.0,2305335954384.0,2676692813006.0,3122351236208.0,3465602755690.0,3894577290544.0,4183340810772.0,4657403639024.0,5027040305524.0,5439075373508.0,5749832894472.0,5849326937788.0,5808478413278.0,5678154049754.0,5485522394430.0,5205154338500.0,4855761888638.0,4491438616962.0,4086700626009.9995,3716842592169.9995,3350660062258.0,3085150884149.9995,2976901016213.9995,2921943414224.0,2895011382834.0,2815753420945.9995,2718399312312.0,2622966935574.0,2522595582808.0,2402014322014.0,2287019276678.0,2178915614295.9995,2058393264704.0,1947152815897.9998,1837331188499.999
