access_scenario,scenario,name_run,q,region,year,e_cool_CC,e_cool_noCC,e_cool_delta
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2030,0.259019136,0.193310558,0.065708578
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2040,0.278674059,0.187967292,0.090706767
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2050,0.291595629,0.178414026,0.113181602
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2060,0.295431427,0.164186326,0.131245101
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2070,0.294650057,0.149286698,0.14536336
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2080,0.291038945,0.134838454,0.156200491
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2090,0.285370246,0.121067849,0.164302397
DLS,EN_NPi2100,tm23ts23,0.95,PAO,2100,0.27799793,0.108191706,0.169806224
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2030,1.219703142,1.021460305,0.198242837
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2040,2.160554011,1.727550877,0.433003134
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2050,3.232476024,2.463091726,0.769384298
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2060,3.791614591,2.744780084,1.046834507
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2070,4.059753267,2.794290786,1.265462481
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2080,4.332691249,2.833937506,1.498753742
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2090,4.479328414,2.777376367,1.701952047
DLS,EN_NPi2100,tm23ts23,0.95,PAS,2100,4.45018298,2.613896045,1.836286936
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2030,2.283955686,2.072062052,0.211893634
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2040,4.378263538,3.76312034,0.615143198
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2050,7.888799298,6.427974863,1.460824435
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2060,11.22101302,8.658283307,2.56272971
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2070,14.34791849,10.48476187,3.86315662
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2080,16.44210057,11.38006118,5.062039396
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2090,17.23050464,11.28264571,5.947858932
DLS,EN_NPi2100,tm23ts23,0.95,SAS,2100,17.1517108,10.61900379,6.532707012
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2030,1.865842411,1.378491078,0.487351333
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2040,2.292737606,1.461728315,0.831009291
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2050,2.642310067,1.470658827,1.17165124
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2060,2.825982337,1.379226585,1.446755752
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2070,2.959025837,1.275462887,1.683562951
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2080,3.06356615,1.172975268,1.890590882
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2090,3.152087097,1.076349592,2.075737505
DLS,EN_NPi2100,tm23ts23,0.95,WEU,2100,3.215788428,0.983484726,2.232303701
