access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,
projected,EN_NPi2102,tm23ts25,2.95,AFR,South Africa,69.488,2040,0.01032,0.007821391,0.00250,31.92%,,
projected,EN_NPi2103,tm23ts26,3.95,AFR,South Africa,73.381,2050,0.01920,0.013516639,0.00568,42.04%,,
projected,EN_NPi2104,tm23ts27,4.95,AFR,South Africa,75.596,2060,0.04269,0.027834129,0.01486,53.39%,,
projected,EN_NPi2105,tm23ts28,5.95,AFR,South Africa,76.484,2070,0.09842,0.059560221,0.03886,65.24%,,
projected,EN_NPi2106,tm23ts29,6.95,AFR,South Africa,76.468,2080,0.17807,0.100363526,0.07770,77.42%,,
projected,EN_NPi2107,tm23ts30,7.95,AFR,South Africa,75.783,2090,0.24516,0.128800824,0.11636,90.34%,,
projected,EN_NPi2108,tm23ts31,8.95,AFR,South Africa,74.631,2100,0.27464,0.134612204,0.14003,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,1691.667,2030,0.15874,0.12956,0.02918,22.53%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2073.192,2040,0.30785,0.23335,0.07450,31.92%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2464.98,2050,0.64493,0.45404,0.19089,42.04%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2842.066,2060,1.60509,1.04644,0.55865,53.39%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3188.522,2070,4.10300,2.48299,1.62001,65.24%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3489.624,2080,8.12604,4.58010,3.54594,77.42%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3734.216,2090,12.08012,6.34668,5.73345,90.34%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3915.626,2100,14.40964,7.06263,7.34701,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1425.12,2030,0.5553325398075196,0.42313576228877214,0.13220,31.24%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1388.17,2040,0.6362801814559162,0.44371406980488315,0.19257,43.40%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1324.82,2050,0.7042970616106113,0.4517253506298455,0.25257,55.91%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1218.57,2060,0.7312127309937486,0.43182407993916405,0.29939,69.33%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1097.96,2070,0.7298703998237599,0.3983081032284872,0.33156,83.24%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,985.048,2080,0.7092188121358235,0.35857552704295326,0.35064,97.79%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,874.582,2090,0.6781063413542359,0.31767685130141265,0.36043,113.46%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,777.192,2100,0.6459714896751818,0.28071416971024227,0.36526,130.12%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,151.016,2030,0.3861326360919951,0.258792023,0.12734,49.21%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,143.823,2040,0.4979420672784872,0.27432382697000224,0.22362,81.52%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,136.597,2050,0.5699618107141365,0.2644673394269771,0.30549,115.51%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,129.102,2060,0.6392975226877528,0.25334356530119745,0.38595,152.34%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,121.725,2070,0.6794058323952992,0.23343983613613173,0.44597,191.04%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,115.458,2080,0.7016142345114481,0.2112589724571328,0.49036,232.11%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,111.102,2090,0.7164866709327345,0.1901340031152314,0.52635,276.83%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,108.288,2100,0.7273314627862677,0.17105295215201186,0.55628,325.21%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,100.181,2030,0.256152683,0.171677462,0.08448,,,
