DLS,EN_NPi2100,tm23ts23,0.5,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
,,,,WEU,,437.957,2040,2.208662673,1.461728315,0.7469,0.51
,,,,WEU,,437.973,2050,2.455325762,1.470658827,0.9847,0.67
,,,,WEU,,433.49,2060,2.648835511,1.379226585,1.2696,0.92
,,,,WEU,,429.317,2070,2.784440019,1.275462887,1.509,1.18
,,,,WEU,,427.559,2080,2.884505426,1.172975268,1.7115,1.46
,,,,WEU,,426.578,2090,2.966342962,1.076349592,1.89,1.76
,,,,WEU,,426.335,2100,3.021636285,0.983484726,2.0382,2.07
,,,,WEU,EU-15,349.22,2030,1.47779694,1.10916799,0.3686,0.33
,,,,WEU,EU-15,350.904,2040,1.769645345,1.17117962,0.5985,0.51
,,,,WEU,EU-15,349.353,2050,1.958512102,1.173083896,0.7854,0.67
,,,,WEU,EU-15,344.459,2060,2.10481264,1.095958408,1.0089,0.92
,,,,WEU,EU-15,340.144,2070,2.206086798,1.01053778,1.1955,1.18
,,,,WEU,EU-15,338.226,2080,2.281824806,0.927897046,1.3539,1.46
,,,,WEU,EU-15,337.522,2090,2.347064333,0.851641826,1.4954,1.76
,,,,WEU,EU-15,337.515,2100,2.392127249,0.778591595,1.6135,2.07
,,,,WEU,European Free Trade Association,84.796,2030,0.358831881,0.269323088,0.0895,0.33
,,,,WEU,European Free Trade Association,87.053,2040,0.439017327,0.290548695,0.1485,0.51
,,,,WEU,European Free Trade Association,88.62,2050,0.49681366,0.297574931,0.1992,0.67
,,,,WEU,European Free Trade Association,89.031,2060,0.544022871,0.283268177,0.2608,0.92
,,,,WEU,European Free Trade Association,89.173,2070,0.578353221,0.264925107,0.3134,1.18
,,,,WEU,European Free Trade Association,89.333,2080,0.60268062,0.245078222,0.3576,1.46
,,,,WEU,European Free Trade Association,89.056,2090,0.619278629,0.224707766,0.3946,1.76
,,,,WEU,European Free Trade Association,88.82,2100,0.629509036,0.204893132,0.4246,2.07
