DLS,EN_NPi2100,tm23ts23,0.5,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
DLS,EN_NPi2100,tm23ts23,0.5,AFR,,3188.522,2070,4.103,2.48299,1.62,0.65
DLS,EN_NPi2100,tm23ts23,0.5,AFR,,3489.624,2080,8.12604,4.5801,3.5459,0.77
DLS,EN_NPi2100,tm23ts23,0.5,AFR,,3734.216,2090,12.08012,6.34668,5.7334,0.9
DLS,EN_NPi2100,tm23ts23,0.5,AFR,,3915.626,2100,14.40964,7.06263,7.347,1.04
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,1425.12,2030,0.55533254,0.423135762,0.1322,0.31
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,1388.17,2040,0.636280181,0.44371407,0.1926,0.43
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,1324.82,2050,0.704297062,0.451725351,0.2526,0.56
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,1218.57,2060,0.731212731,0.43182408,0.2994,0.69
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,1097.96,2070,0.7298704,0.398308103,0.3316,0.83
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,985.048,2080,0.709218812,0.358575527,0.3506,0.98
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,874.582,2090,0.678106341,0.317676851,0.3604,1.13
DLS,EN_NPi2100,tm23ts23,0.5,CPA,China,777.192,2100,0.64597149,0.28071417,0.3653,1.3
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,151.016,2030,0.386132636,0.258792023,0.1273,0.49
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,143.823,2040,0.497942067,0.274323827,0.2236,0.82
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,136.597,2050,0.569961811,0.264467339,0.3055,1.16
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,129.102,2060,0.639297523,0.253343565,0.386,1.52
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,121.725,2070,0.679405832,0.233439836,0.446,1.91
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,115.458,2080,0.701614235,0.211258972,0.4904,2.32
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,111.102,2090,0.716486671,0.190134003,0.5264,2.77
DLS,EN_NPi2100,tm23ts23,0.5,EEU,,108.288,2100,0.727331463,0.171052952,0.5563,3.25
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,100.181,2030,0.256152683,0.171677462,0.0845,0.49
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,96.133,2040,0.332830387,0.183361301,0.1495,0.82
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,92.148,2050,0.384494835,0.178409016,0.2061,1.16
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,88.29,2060,0.437201424,0.173256056,0.2639,1.52
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,84.469,2070,0.471462159,0.161991617,0.3095,1.91
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,81.299,2080,0.494037101,0.148756632,0.3453,2.32
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,79.448,2090,0.51235291,0.135963045,0.3764,2.77
DLS,EN_NPi2100,tm23ts23,0.5,EEU,EU-12,78.82,2100,0.529405529,0.124504965,0.4049,3.25
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,50.835,2030,0.129979953,0.087114561,0.0429,0.49
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,47.69,2040,0.16511168,0.090962526,0.0741,0.82
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,44.449,2050,0.185466976,0.086058323,0.0994,1.16
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,40.812,2060,0.202096098,0.080087509,0.122,1.52
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,37.256,2070,0.207943674,0.07144822,0.1365,1.91
DLS,EN_NPi2100,tm23ts23,0.5,EEU,Europe_Eastern,34.159,2080,0.207577133,0.062502341,0.1451,2.32
