access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,349.22,2030,1.253215252,1.10916799,0.144,13%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,350.904,2040,1.43020604,1.17117962,0.259,22%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,349.353,2050,1.549045185,1.173083896,0.376,32%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,344.459,2060,1.570499278,1.095958408,0.4745,43%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,340.144,2070,1.571839329,1.01053778,0.5613,56%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,338.226,2080,1.56628245,0.927897046,0.6384,69%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,337.522,2090,1.559512764,0.851641826,0.7079,83%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,EU-15,337.515,2100,1.545175948,0.778591595,0.7666,98%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,84.796,2030,0.304299984,0.269323088,0.035,13%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,87.053,2040,0.354808513,0.290548695,0.0643,22%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,88.62,2050,0.392944627,0.297574931,0.0954,32%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,89.031,2060,0.40592094,0.283268177,0.1227,43%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,89.173,2070,0.412077322,0.264925107,0.1472,56%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,89.333,2080,0.413689989,0.245078222,0.1686,69%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,89.056,2090,0.411481233,0.224707766,0.1868,83%
DLS,EN_NPi2100,tm23ts23,0.5,WEU,European Free Trade Association,88.82,2100,0.406626454,0.204893132,0.2017,98%
