Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.768,0.9319999999999999
2021,0.768,0.9319999999999999
2022,0.768,0.9319999999999999
2023,0.768,0.9319999999999999
2024,0.768,0.9319999999999999
2025,0.768,0.9319999999999999
2026,0.768,0.9319999999999999
2027,0.768,0.9319999999999999
2028,0.768,0.9319999999999999
2029,0.768,0.9319999999999999
2030,0.768,0.9319999999999999
2031,0.768,0.9319999999999999
2032,0.768,0.9319999999999999
2033,0.768,0.9319999999999999
2034,0.768,0.9319999999999999
2035,0.768,0.9319999999999999
2036,0.768,0.9319999999999999
2037,0.768,0.9319999999999999
2038,0.768,0.9319999999999999
2039,0.768,0.9319999999999999
2040,0.72,0.952
2041,0.72,0.952
2042,0.72,0.952
2043,0.72,0.952
2044,0.72,0.952
2045,0.72,0.952
2046,0.72,0.952
2047,0.72,0.952
2048,0.72,0.952
2049,0.72,0.952
2050,0.72,0.952
2051,0.72,0.952
2052,0.72,0.952
2053,0.72,0.952
2054,0.72,0.952
2055,0.72,0.952
2056,0.72,0.952
2057,0.72,0.952
2058,0.72,0.952
2059,0.72,0.952
2060,0.72,0.952
2061,0.72,0.952
2062,0.72,0.952
2063,0.72,0.952
2064,0.72,0.952
2065,0.72,0.952
2066,0.72,0.952
2067,0.72,0.952
2068,0.72,0.952
2069,0.72,0.952
2070,0.72,0.952
2071,0.72,0.952
2072,0.72,0.952
2073,0.72,0.952
2074,0.72,0.952
2075,0.72,0.952
2076,0.72,0.952
2077,0.72,0.952
2078,0.72,0.952
2079,0.72,0.952
2080,0.72,0.952
2081,0.72,0.952
2082,0.72,0.952
2083,0.72,0.952
2084,0.72,0.952
2085,0.72,0.952
2086,0.72,0.952
2087,0.72,0.952
2088,0.72,0.952
2089,0.72,0.952
2090,0.72,0.952
2091,0.72,0.952
2092,0.72,0.952
2093,0.72,0.952
2094,0.72,0.952
2095,0.72,0.952
2096,0.72,0.952
2097,0.72,0.952
2098,0.72,0.952
2099,0.72,0.952
2100,0.72,0.952
2101,0.72,0.952
2102,0.72,0.952
2103,0.72,0.952
2104,0.72,0.952
2105,0.72,0.952
2106,0.72,0.952
2107,0.72,0.952
2108,0.72,0.952
2109,0.72,0.952
2110,0.72,0.952
2111,0.72,0.952
2112,0.72,0.952
2113,0.72,0.952
2114,0.72,0.952
2115,0.72,0.952
2116,0.72,0.952
2117,0.72,0.952
2118,0.72,0.952
2119,0.72,0.952
2120,0.72,0.952
2121,0.72,0.952
2122,0.72,0.952
2123,0.72,0.952
2124,0.72,0.952
2125,0.72,0.952
2126,0.72,0.952
2127,0.72,0.952
2128,0.72,0.952
2129,0.72,0.952
2130,0.72,0.952
2131,0.72,0.952
2132,0.72,0.952
2133,0.72,0.952
2134,0.72,0.952
2135,0.72,0.952
2136,0.72,0.952
2137,0.72,0.952
2138,0.72,0.952
2139,0.72,0.952
2140,0.72,0.952
2141,0.72,0.952
2142,0.72,0.952
2143,0.72,0.952
2144,0.72,0.952
2145,0.72,0.952
2146,0.72,0.952
2147,0.72,0.952
2148,0.72,0.952
2149,0.72,0.952
2150,0.72,0.952
