Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.735,0.905
2021,0.735,0.905
2022,0.735,0.905
2023,0.735,0.905
2024,0.735,0.905
2025,0.735,0.905
2026,0.735,0.905
2027,0.735,0.905
2028,0.735,0.905
2029,0.735,0.905
2030,0.735,0.905
2031,0.735,0.905
2032,0.735,0.905
2033,0.735,0.905
2034,0.735,0.905
2035,0.735,0.905
2036,0.735,0.905
2037,0.735,0.905
2038,0.735,0.905
2039,0.735,0.905
2040,0.395,0.82
2041,0.395,0.82
2042,0.395,0.82
2043,0.395,0.82
2044,0.395,0.82
2045,0.395,0.82
2046,0.395,0.82
2047,0.395,0.82
2048,0.395,0.82
2049,0.395,0.82
2050,0.395,0.82
2051,0.395,0.82
2052,0.395,0.82
2053,0.395,0.82
2054,0.395,0.82
2055,0.395,0.82
2056,0.395,0.82
2057,0.395,0.82
2058,0.395,0.82
2059,0.395,0.82
2060,0.395,0.82
2061,0.395,0.82
2062,0.395,0.82
2063,0.395,0.82
2064,0.395,0.82
2065,0.395,0.82
2066,0.395,0.82
2067,0.395,0.82
2068,0.395,0.82
2069,0.395,0.82
2070,0.395,0.82
2071,0.395,0.82
2072,0.395,0.82
2073,0.395,0.82
2074,0.395,0.82
2075,0.395,0.82
2076,0.395,0.82
2077,0.395,0.82
2078,0.395,0.82
2079,0.395,0.82
2080,0.395,0.82
2081,0.395,0.82
2082,0.395,0.82
2083,0.395,0.82
2084,0.395,0.82
2085,0.395,0.82
2086,0.395,0.82
2087,0.395,0.82
2088,0.395,0.82
2089,0.395,0.82
2090,0.395,0.82
2091,0.395,0.82
2092,0.395,0.82
2093,0.395,0.82
2094,0.395,0.82
2095,0.395,0.82
2096,0.395,0.82
2097,0.395,0.82
2098,0.395,0.82
2099,0.395,0.82
2100,0.395,0.82
2101,0.395,0.82
2102,0.395,0.82
2103,0.395,0.82
2104,0.395,0.82
2105,0.395,0.82
2106,0.395,0.82
2107,0.395,0.82
2108,0.395,0.82
2109,0.395,0.82
2110,0.395,0.82
2111,0.395,0.82
2112,0.395,0.82
2113,0.395,0.82
2114,0.395,0.82
2115,0.395,0.82
2116,0.395,0.82
2117,0.395,0.82
2118,0.395,0.82
2119,0.395,0.82
2120,0.395,0.82
2121,0.395,0.82
2122,0.395,0.82
2123,0.395,0.82
2124,0.395,0.82
2125,0.395,0.82
2126,0.395,0.82
2127,0.395,0.82
2128,0.395,0.82
2129,0.395,0.82
2130,0.395,0.82
2131,0.395,0.82
2132,0.395,0.82
2133,0.395,0.82
2134,0.395,0.82
2135,0.395,0.82
2136,0.395,0.82
2137,0.395,0.82
2138,0.395,0.82
2139,0.395,0.82
2140,0.395,0.82
2141,0.395,0.82
2142,0.395,0.82
2143,0.395,0.82
2144,0.395,0.82
2145,0.395,0.82
2146,0.395,0.82
2147,0.395,0.82
2148,0.395,0.82
2149,0.395,0.82
2150,0.395,0.82
