Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.894,0.962
2021,0.894,0.962
2022,0.894,0.962
2023,0.894,0.962
2024,0.894,0.962
2025,0.894,0.962
2026,0.894,0.962
2027,0.894,0.962
2028,0.894,0.962
2029,0.894,0.962
2030,0.894,0.962
2031,0.894,0.962
2032,0.894,0.962
2033,0.894,0.962
2034,0.894,0.962
2035,0.894,0.962
2036,0.894,0.962
2037,0.894,0.962
2038,0.894,0.962
2039,0.894,0.962
2040,0.758,0.9279999999999999
2041,0.758,0.9279999999999999
2042,0.758,0.9279999999999999
2043,0.758,0.9279999999999999
2044,0.758,0.9279999999999999
2045,0.758,0.9279999999999999
2046,0.758,0.9279999999999999
2047,0.758,0.9279999999999999
2048,0.758,0.9279999999999999
2049,0.758,0.9279999999999999
2050,0.758,0.9279999999999999
2051,0.758,0.9279999999999999
2052,0.758,0.9279999999999999
2053,0.758,0.9279999999999999
2054,0.758,0.9279999999999999
2055,0.758,0.9279999999999999
2056,0.758,0.9279999999999999
2057,0.758,0.9279999999999999
2058,0.758,0.9279999999999999
2059,0.758,0.9279999999999999
2060,0.758,0.9279999999999999
2061,0.758,0.9279999999999999
2062,0.758,0.9279999999999999
2063,0.758,0.9279999999999999
2064,0.758,0.9279999999999999
2065,0.758,0.9279999999999999
2066,0.758,0.9279999999999999
2067,0.758,0.9279999999999999
2068,0.758,0.9279999999999999
2069,0.758,0.9279999999999999
2070,0.758,0.9279999999999999
2071,0.758,0.9279999999999999
2072,0.758,0.9279999999999999
2073,0.758,0.9279999999999999
2074,0.758,0.9279999999999999
2075,0.758,0.9279999999999999
2076,0.758,0.9279999999999999
2077,0.758,0.9279999999999999
2078,0.758,0.9279999999999999
2079,0.758,0.9279999999999999
2080,0.758,0.9279999999999999
2081,0.758,0.9279999999999999
2082,0.758,0.9279999999999999
2083,0.758,0.9279999999999999
2084,0.758,0.9279999999999999
2085,0.758,0.9279999999999999
2086,0.758,0.9279999999999999
2087,0.758,0.9279999999999999
2088,0.758,0.9279999999999999
2089,0.758,0.9279999999999999
2090,0.758,0.9279999999999999
2091,0.758,0.9279999999999999
2092,0.758,0.9279999999999999
2093,0.758,0.9279999999999999
2094,0.758,0.9279999999999999
2095,0.758,0.9279999999999999
2096,0.758,0.9279999999999999
2097,0.758,0.9279999999999999
2098,0.758,0.9279999999999999
2099,0.758,0.9279999999999999
2100,0.758,0.9279999999999999
2101,0.758,0.9279999999999999
2102,0.758,0.9279999999999999
2103,0.758,0.9279999999999999
2104,0.758,0.9279999999999999
2105,0.758,0.9279999999999999
2106,0.758,0.9279999999999999
2107,0.758,0.9279999999999999
2108,0.758,0.9279999999999999
2109,0.758,0.9279999999999999
2110,0.758,0.9279999999999999
2111,0.758,0.9279999999999999
2112,0.758,0.9279999999999999
2113,0.758,0.9279999999999999
2114,0.758,0.9279999999999999
2115,0.758,0.9279999999999999
2116,0.758,0.9279999999999999
2117,0.758,0.9279999999999999
2118,0.758,0.9279999999999999
2119,0.758,0.9279999999999999
2120,0.758,0.9279999999999999
2121,0.758,0.9279999999999999
2122,0.758,0.9279999999999999
2123,0.758,0.9279999999999999
2124,0.758,0.9279999999999999
2125,0.758,0.9279999999999999
2126,0.758,0.9279999999999999
2127,0.758,0.9279999999999999
2128,0.758,0.9279999999999999
2129,0.758,0.9279999999999999
2130,0.758,0.9279999999999999
2131,0.758,0.9279999999999999
2132,0.758,0.9279999999999999
2133,0.758,0.9279999999999999
2134,0.758,0.9279999999999999
2135,0.758,0.9279999999999999
2136,0.758,0.9279999999999999
2137,0.758,0.9279999999999999
2138,0.758,0.9279999999999999
2139,0.758,0.9279999999999999
2140,0.758,0.9279999999999999
2141,0.758,0.9279999999999999
2142,0.758,0.9279999999999999
2143,0.758,0.9279999999999999
2144,0.758,0.9279999999999999
2145,0.758,0.9279999999999999
2146,0.758,0.9279999999999999
2147,0.758,0.9279999999999999
2148,0.758,0.9279999999999999
2149,0.758,0.9279999999999999
2150,0.758,0.9279999999999999
