Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.788,0.924
2021,0.788,0.924
2022,0.788,0.924
2023,0.788,0.924
2024,0.788,0.924
2025,0.788,0.924
2026,0.788,0.924
2027,0.788,0.924
2028,0.788,0.924
2029,0.788,0.924
2030,0.788,0.924
2031,0.788,0.924
2032,0.788,0.924
2033,0.788,0.924
2034,0.788,0.924
2035,0.788,0.924
2036,0.788,0.924
2037,0.788,0.924
2038,0.788,0.924
2039,0.788,0.924
2040,0.516,0.856
2041,0.516,0.856
2042,0.516,0.856
2043,0.516,0.856
2044,0.516,0.856
2045,0.516,0.856
2046,0.516,0.856
2047,0.516,0.856
2048,0.516,0.856
2049,0.516,0.856
2050,0.516,0.856
2051,0.516,0.856
2052,0.516,0.856
2053,0.516,0.856
2054,0.516,0.856
2055,0.516,0.856
2056,0.516,0.856
2057,0.516,0.856
2058,0.516,0.856
2059,0.516,0.856
2060,0.516,0.856
2061,0.516,0.856
2062,0.516,0.856
2063,0.516,0.856
2064,0.516,0.856
2065,0.516,0.856
2066,0.516,0.856
2067,0.516,0.856
2068,0.516,0.856
2069,0.516,0.856
2070,0.516,0.856
2071,0.516,0.856
2072,0.516,0.856
2073,0.516,0.856
2074,0.516,0.856
2075,0.516,0.856
2076,0.516,0.856
2077,0.516,0.856
2078,0.516,0.856
2079,0.516,0.856
2080,0.516,0.856
2081,0.516,0.856
2082,0.516,0.856
2083,0.516,0.856
2084,0.516,0.856
2085,0.516,0.856
2086,0.516,0.856
2087,0.516,0.856
2088,0.516,0.856
2089,0.516,0.856
2090,0.516,0.856
2091,0.516,0.856
2092,0.516,0.856
2093,0.516,0.856
2094,0.516,0.856
2095,0.516,0.856
2096,0.516,0.856
2097,0.516,0.856
2098,0.516,0.856
2099,0.516,0.856
2100,0.516,0.856
2101,0.516,0.856
2102,0.516,0.856
2103,0.516,0.856
2104,0.516,0.856
2105,0.516,0.856
2106,0.516,0.856
2107,0.516,0.856
2108,0.516,0.856
2109,0.516,0.856
2110,0.516,0.856
2111,0.516,0.856
2112,0.516,0.856
2113,0.516,0.856
2114,0.516,0.856
2115,0.516,0.856
2116,0.516,0.856
2117,0.516,0.856
2118,0.516,0.856
2119,0.516,0.856
2120,0.516,0.856
2121,0.516,0.856
2122,0.516,0.856
2123,0.516,0.856
2124,0.516,0.856
2125,0.516,0.856
2126,0.516,0.856
2127,0.516,0.856
2128,0.516,0.856
2129,0.516,0.856
2130,0.516,0.856
2131,0.516,0.856
2132,0.516,0.856
2133,0.516,0.856
2134,0.516,0.856
2135,0.516,0.856
2136,0.516,0.856
2137,0.516,0.856
2138,0.516,0.856
2139,0.516,0.856
2140,0.516,0.856
2141,0.516,0.856
2142,0.516,0.856
2143,0.516,0.856
2144,0.516,0.856
2145,0.516,0.856
2146,0.516,0.856
2147,0.516,0.856
2148,0.516,0.856
2149,0.516,0.856
2150,0.516,0.856
