Years,efficiency reduction in power plants.exogenous effect of STA on river cooled thermal power energy capacity efficiency,efficiency reduction in power plants.exogenous effect of STA on hydropower energy capacity efficiency
1980,1.0,1.0
1981,1.0,1.0
1982,1.0,1.0
1983,1.0,1.0
1984,1.0,1.0
1985,1.0,1.0
1986,1.0,1.0
1987,1.0,1.0
1988,1.0,1.0
1989,1.0,1.0
1990,1.0,1.0
1991,1.0,1.0
1992,1.0,1.0
1993,1.0,1.0
1994,1.0,1.0
1995,1.0,1.0
1996,1.0,1.0
1997,1.0,1.0
1998,1.0,1.0
1999,1.0,1.0
2000,1.0,1.0
2001,1.0,1.0
2002,1.0,1.0
2003,1.0,1.0
2004,1.0,1.0
2005,1.0,1.0
2006,1.0,1.0
2007,1.0,1.0
2008,1.0,1.0
2009,1.0,1.0
2010,1.0,1.0
2011,1.0,1.0
2012,1.0,1.0
2013,1.0,1.0
2014,1.0,1.0
2015,1.0,1.0
2016,1.0,1.0
2017,1.0,1.0
2018,1.0,1.0
2019,1.0,1.0
2020,0.884,0.966
2021,0.884,0.966
2022,0.884,0.966
2023,0.884,0.966
2024,0.884,0.966
2025,0.884,0.966
2026,0.884,0.966
2027,0.884,0.966
2028,0.884,0.966
2029,0.884,0.966
2030,0.884,0.966
2031,0.884,0.966
2032,0.884,0.966
2033,0.884,0.966
2034,0.884,0.966
2035,0.884,0.966
2036,0.884,0.966
2037,0.884,0.966
2038,0.884,0.966
2039,0.884,0.966
2040,0.86,0.976
2041,0.86,0.976
2042,0.86,0.976
2043,0.86,0.976
2044,0.86,0.976
2045,0.86,0.976
2046,0.86,0.976
2047,0.86,0.976
2048,0.86,0.976
2049,0.86,0.976
2050,0.86,0.976
2051,0.86,0.976
2052,0.86,0.976
2053,0.86,0.976
2054,0.86,0.976
2055,0.86,0.976
2056,0.86,0.976
2057,0.86,0.976
2058,0.86,0.976
2059,0.86,0.976
2060,0.86,0.976
2061,0.86,0.976
2062,0.86,0.976
2063,0.86,0.976
2064,0.86,0.976
2065,0.86,0.976
2066,0.86,0.976
2067,0.86,0.976
2068,0.86,0.976
2069,0.86,0.976
2070,0.86,0.976
2071,0.86,0.976
2072,0.86,0.976
2073,0.86,0.976
2074,0.86,0.976
2075,0.86,0.976
2076,0.86,0.976
2077,0.86,0.976
2078,0.86,0.976
2079,0.86,0.976
2080,0.86,0.976
2081,0.86,0.976
2082,0.86,0.976
2083,0.86,0.976
2084,0.86,0.976
2085,0.86,0.976
2086,0.86,0.976
2087,0.86,0.976
2088,0.86,0.976
2089,0.86,0.976
2090,0.86,0.976
2091,0.86,0.976
2092,0.86,0.976
2093,0.86,0.976
2094,0.86,0.976
2095,0.86,0.976
2096,0.86,0.976
2097,0.86,0.976
2098,0.86,0.976
2099,0.86,0.976
2100,0.86,0.976
2101,0.86,0.976
2102,0.86,0.976
2103,0.86,0.976
2104,0.86,0.976
2105,0.86,0.976
2106,0.86,0.976
2107,0.86,0.976
2108,0.86,0.976
2109,0.86,0.976
2110,0.86,0.976
2111,0.86,0.976
2112,0.86,0.976
2113,0.86,0.976
2114,0.86,0.976
2115,0.86,0.976
2116,0.86,0.976
2117,0.86,0.976
2118,0.86,0.976
2119,0.86,0.976
2120,0.86,0.976
2121,0.86,0.976
2122,0.86,0.976
2123,0.86,0.976
2124,0.86,0.976
2125,0.86,0.976
2126,0.86,0.976
2127,0.86,0.976
2128,0.86,0.976
2129,0.86,0.976
2130,0.86,0.976
2131,0.86,0.976
2132,0.86,0.976
2133,0.86,0.976
2134,0.86,0.976
2135,0.86,0.976
2136,0.86,0.976
2137,0.86,0.976
2138,0.86,0.976
2139,0.86,0.976
2140,0.86,0.976
2141,0.86,0.976
2142,0.86,0.976
2143,0.86,0.976
2144,0.86,0.976
2145,0.86,0.976
2146,0.86,0.976
2147,0.86,0.976
2148,0.86,0.976
2149,0.86,0.976
2150,0.86,0.976
