Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2023,,1.24595193383,,41431.0762242,,34744.4544269,,4740.77214445,593.649574815,1237.26533624,244.731596167,199.0139564,227.700955345,4084928443880,5014054885180,10979875409600,,1229.80689312,,401.278107863,0,70412.34686,66584.3529704,18640.19864,18594.1435115,16405.25727,16409.1460756,22321.63636,20044.6111812,2791.708855,3009.58580897,539.0282455,517.178944686,4505.775136,4729.51051188,,1005.2176213,,2274.95931518
2024,,1.2807652511,,41974.8369521,,35115.0739076,,4797.11967999,710.973802137,1385.89942141,252.555568204,,234.802871301,4136506523390,5101159503750,11001763474000,,1238.84719034,,406.202043114,0,,67948.7099496,,18925.8155247,,16802.8858694,,20121.930569,,3046.51532335,,535.151901491,,4764.27709271,,1203.88091647,,2548.25275248
2025,,1.30898774678,,42468.0161288,,35480.7520621,,4822.77887225,833.96635076,1534.33473456,259.426517335,,241.309967555,4187577372070,5188545625620,11026131975200,,1246.2487588,,410.730045866,0,,69297.7329109,,19252.0357003,,17189.9576364,,20197.416494,,3080.475344,,551.783178036,,4792.74155818,,1412.14229221,,2821.18070775
2026,,1.33278969185,,42538.9496208,,35696.8229795,,4611.92520364,987.775124214,1713.38154329,247.737660098,,233.468525297,4206910609360,5245705914380,11031894874300,,1242.93230337,,443.016232576,0,,70629.7926642,,19440.5759107,,17484.2338702,,20244.0218311,,3322.62174432,,535.373643668,,4779.98735188,,1672.58430371,,3150.39400861
2027,,1.35391590924,,42607.6316959,,35859.6331072,,4494.02994169,1141.34487856,1886.94566708,235.681289537,,223.409489308,4227244763820,5300908644420,11043216018100,,1237.45779853,,476.78553547,0,,71900.1237225,,19612.2772638,,17753.2577994,,20283.6886548,,3575.89151603,,513.92674089,,4758.93386101,,1932.62158785,,3469.52629869
2028,,1.3737009785,,42581.0527567,,35938.8015925,,4397.5271734,1292.60691327,2051.62292738,224.16572561,,213.307304201,4242473388490,5345918308330,11029050048900,,1230.92969024,,511.176529138,0,,73014.4768385,,19745.9987339,,17972.2246844,,20275.5128886,,3833.82396854,,492.018509618,,4733.82849127,,2188.75124611,,3772.31831618
2029,,1.39377823766,,42464.6279363,,35945.3996759,,4299.50129096,1440.57496196,2206.78308627,213.212231165,,203.555206593,4246707259610,5380557625580,10997196584500,,1223.85704703,,546.474616352,0,,73971.5048678,,19828.5892175,,18142.4164152,,20227.6854117,,4098.55962264,,470.710724156,,4706.6289849,,2439.30324891,,4057.61124282
2030,,1.41412841156,,42314.7269549,,35903.2446879,,4207.33933433,1586.7117936,2354.00008979,202.79337511,,194.110991285,4244946788380,5408097980270,10958304770000,,1216.25517822,,583.32469679,0,,74828.2930227,,19876.9282845,,18275.8559194,,20158.163715,,4374.93522593,,449.962087448,,4677.39421753,,2686.75448027,,4328.29909262
2031,,1.43459086618,,42043.4100497,,35621.9152295,,4200.8245017,1737.53586369,2498.19378925,196.951240567,,188.075312921,4195441799610,5438459755420,10907231845800,,1213.82101568,,625.47482281,0,,75457.398319,,19679.9350309,,18394.4187489,,20051.2930068,,4691.06117108,,437.086751928,,4668.03307522,,2942.14253982,,4593.42799438
2032,,1.45519646862,,41716.5313556,,35081.3707778,,4360.15699032,1905.63907443,2652.75958811,207.162578476,,195.632793825,4078295304260,5476324193770,10827896764100,,1221.239806,,676.62720172,0,,75895.3739629,,19164.832608,,18511.8850365,,19887.3891605,,5074.7040129,,455.582201889,,4696.56377139,,3226.78910035,,4877.62807144
