Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2031,,1.43456189905,,41480.4850867,,35118.2454759,,4142.93324477,1801.37993714,2580.12809671,192.107946523,,184.092000176,4094606473070,5356403591180,10889091618100,,1181.13427443,,766.77001568,0,,75873.6349828,,19201.8035549,,18136.3273892,,20020.2528201,,5750.7751176,,427.818251945,,4542.32855427,,3050.24871959,,4744.08057513
2032,,1.45508546012,,40911.1952522,,34458.8852732,,4179.91408406,1979.77211483,2746.97090654,187.342603264,,178.771201363,3960919698050,5379410591070,10797344807700,,1183.39655172,,848.788783462,0,,76381.9480351,,18599.1923799,,18206.6813621,,19839.6569907,,6365.91587597,,416.300938803,,4551.02867157,,3352.31742833,,5050.85438774
2033,,1.4763599795,,40334.841424,,33652.6044031,,4325.60004539,2175.56003582,2925.62072199,193.954764679,,183.34166996,3798350801320,5400841496440,10690365468900,,1192.66623206,,941.517254952,0,,76855.225644,,17837.7188505,,18257.3823435,,19621.152577,,7061.37941214,,427.735245293,,4586.67739892,,3683.84207952,,5379.33773718
2034,,1.49963661447,,39731.5413557,,32785.2024936,,4481.48822308,2388.39902731,3116.00682981,208.854582187,,195.608419957,3621467735430,5418871756750,10579532325900,,1206.57006265,,1045.25348189,0,,77378.5348379,,17001.8460008,,18284.9008324,,19381.3571185,,7839.40111415,,457.2422882,,4640.14783667,,4044.23904402,,5729.40060307
2035,,1.52669276855,,39141.183896,,31934.1140108,,4620.29289468,2616.81237787,3316.07605344,230.977427996,,214.609564605,3448053646930,5432851709110,10456819755500,,1223.83667356,,1159.78088918,0,,78022.4189374,,16184.4089515,,18287.1373663,,19115.2068357,,8698.35666882,,502.482841438,,4706.55063396,,4431.00782929,,6097.2678104
2036,,1.55440696253,,38536.4390233,,31098.6270928,,4726.21503365,2854.43426669,3518.34135126,259.21213495,,239.417865703,3280534546210,5441645126960,10328837081500,,1243.29954073,,1284.78958908,0,,78765.7155557,,15393.5443998,,18260.8459006,,18829.9825039,,9635.92191807,,561.47895601,,4781.39964918,,4833.36928962,,6469.17293853
2037,,1.58131429108,,37900.0884821,,30275.0203268,,4802.97101636,3100.94375914,3724.51478254,293.149119831,,269.692060232,3119809918150,5444374251820,10192039992400,,1264.22578577,,1419.26211322,0,,79596.3747105,,14632.035254,,18202.7377928,,18522.8046805,,10644.4658491,,633.410765727,,4861.87642681,,5250.77999138,,6848.26395021
2038,,1.60595022394,,37188.9069364,,29455.2260357,,4842.37331927,3352.71058812,3932.40098259,331.724966169,,304.773024611,2966168505490,5438266290120,10044687297600,,1285.70312075,,1560.97800987,0,,80471.7851989,,13900.9310687,,18104.1836045,,18190.474018,,11707.335074,,716.791794969,,4944.47254995,,5677.09285959,,7230.5042292
2039,,1.62873170176,,36383.1286051,,28634.0621074,,4846.76363951,3604.93849316,4138.41841599,373.992218733,,343.996966779,2819593718180,5421450612440,9885117480360,,1307.03968955,,1707.68260748,0,,81349.1251884,,13200.3840233,,17959.8679292,,17831.1507421,,12807.6195561,,810.080745614,,5026.52732373,,6104.18646073,,7609.30840763
2040,,1.64958485179,,35494.8366608,,27809.8590172,,4823.14535038,3853.23943109,4339.12045263,419.048903164,,386.639409292,2679919194210,5393212149930,9713250164630,,1327.7913385,,1857.53275057,0,,82197.0425644,,12530.0598032,,17768.7601906,,17445.8419835,,13931.4956293,,911.582549167,,5106.33265122,,6524.63058937,,7978.33916802
