Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
1990,0.699803922,0.525349654067,27706.71902,25995.1477108,22235.52608,20164.3101947,4976.803532,5386.35604121,0.558943700283,0.558943700283,13.3317387777,,12.0441269639,2194491925020,2631089653280,8191654847150,,621.285034704,,220.085963088,0,34396.11386,32069.7988367,9329.8338,8289.64001794,7013.214,6543.89232412,13538.88,13170.3338942,2043.619452,1650.64472316,38.3648796,24.0165488224,2297.884572,2389.29714816,,0.946450702019,,1.02772957455
1991,0.679803922,0.514150007911,28157.23702,26320.9948275,22678.73387,20557.3599775,4970.189742,5296.81238311,0.536057324122,0.536057324122,12.6813638998,,11.4721344354,2234733268710,2726483681700,8310870783020,,637.538129186,,233.590675809,0,34671.19571,32876.3479443,9240.26616,8453.56392673,7190.22096,6802.14128049,13567.905,13392.0911647,2141.39196,1751.93006856,39.8328552,22.9259272752,2351.02824,2451.80223057,,0.907697556088,,0.985648403182
1992,0.477303922,0.43083216639,27787.3104,26777.3175479,21999.69733,21035.0382395,5258.219371,5246.72077228,0.513172530767,0.513172530767,12.9956391286,,11.7650233115,2290864268790,2828349133740,8449651801940,,653.330524439,,248.118268071,0,34875.34234,33805.3908283,9204.22116,8679.02752178,7222.85352,7078.05192076,13749.4332,13649.5115273,2157.646824,1860.88701053,39.1340286,23.564744524,2350.78596,2512.53558617,,0.868947090297,,0.943570142121
1993,0.527303922,0.40484355248,27730.77985,27274.7691495,22204.48497,21539.9244034,4974.06458,5207.96344208,0.490289854638,0.490289854638,14.7645548659,,13.3620754105,2357472158880,2923152709850,8588452538860,,668.078589746,,262.994502803,0,35155.52693,34767.9284369,9248.3802,8945.72948457,7295.5728,7342.13631903,13688.8452,13909.7896563,2231.953056,1972.45877102,41.162418,26.8297837179,2492.372268,2569.2527263,,0.830200209574,,0.901495774005
1994,0.582303922,0.469581204541,28883.5013,27753.9154873,22404.42243,22016.1620986,5889.616447,5181.12874625,0.467406944922,0.467406944922,18.411648822,,16.6348311567,2422949071390,3004496358100,8706193911830,,681.866334495,,277.631928793,0,35603.09024,35673.3164638,9284.8572,9217.74207819,7340.26068,7576.5775413,13986.8352,14139.3407022,2273.84928,2082.23946595,44.67663936,33.4890734167,2507.8986,2622.27672876,,0.79145293332,,0.85942097639
1995,0.732303922,0.538318514717,28965.66668,28214.9343977,22909.521,22448.7498692,5432.623726,5184.00162975,0.444522791854,0.444522791854,23.9494525033,,21.6052456276,2485083243930,3071369462290,8798911330140,,695.151161508,,291.955561908,0,36380.66748,36505.7717804,9351.26928,9485.79779155,7597.61712,7779.86190134,14195.4822,14331.8929575,2372.47668,2189.66671431,47.185344,43.6157249616,2643.606576,2673.36664325,,0.752703551718,,0.817343892626
1996,0.619803922,0.586027231795,30271.94385,28606.515057,23622.75914,22836.6530099,6012.786832,5166.7031271,0.619172066839,0.410604625785,30.1600329296,,27.2368893945,2545344530350,3126452463780,8872583873750,,707.163014502,,305.16941732,0,37429.46352,37269.4538612,9573.26328,9749.17413596,7977.33144,7957.93307104,14517.58068,14497.0666067,2458.370052,2288.7706299,45.2824254,55.1449666515,2679.189948,2719.56103793,,1.04843446135,,0.754978573246
1997,0.762303922,0.621686036508,31809.7686,28936.7917403,23740.51412,23217.8613347,7406.867458,5097.06736806,0.908061245009,0.376686389966,35.2082326547,,31.9284799673,2601741736740,3179068431450,8950660041450,,718.077007757,,316.305494142,0,37808.38209,38013.2025313,9557.01972,10004.1244332,7930.9404,8134.60858081,14911.9488,14673.571742,2441.46348,2372.29120606,46.811034,64.8429942543,2726.60472,2761.53335579,,1.5376060279,,0.692613125618
1998,0.912303922,0.653851713057,30449.48328,29273.5164842,23644.66708,23635.5796112,6144.714533,4994.7844872,1.36621503031,0.342768449191,38.0594789368,,34.7065850349,2659965467350,3235842553190,9052795452090,,727.846926925,,325.234321842,0,38027.43985,38803.5311204,9496.8468,10269.7085143,8076.23928,8327.71485547,14970.17952,14894.0851276,2483.47872,2439.25741381,48.0182256,70.7157015162,2747.44548,2799.10586874,,2.3133907295,,0.630248220485
1999,0.667303922,0.685030637976,30857.90082,29694.4995652,24162.0332,24135.5673714,6003.159279,4887.40431184,2.27774859238,0.308851022231,38.0811010666,,34.9267274094,2723771849200,3302097369200,9196895098200,,736.895953919,,332.073275872,0,38674.30475,39705.7273513,9537.28524,10562.8819045,8305.88472,8553.3348462,15216.03972,15189.2194243,2577.978792,2490.54956904,48.6890496,71.4108246541,2768.240736,2833.90602194,,3.85687637805,,0.567884260105
2000,0.672303922,0.714601943992,30809.02839,30292.4451379,24787.56452,24755.9078414,5297.434931,4826.82683561,4.07977502917,0.439501371625,36.2315023737,23.1458119,33.344096556,2795700897460,3381904369360,9398977030140,697.1837,745.208551231,,336.559360145,0,39732.49937,40773.4697433,9878.93568,10895.6587785,8637.93216,8824.45315522,15474.0348,15587.1506176,2636.165736,2524.19520109,47.7031644,68.4215978472,2817.39132,2865.87406228,,6.90821980547,,0.808111009111
