Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2021,1.109803922,1.18063539132,40546.16949,40536.5138435,35296.86765,34142.0750987,3552.92421,4654.33433303,387.074122007,953.509549864,226.94221598,175.9339038,211.429947877,3999337354250,4865754031180,10986615089200,1235.01,1207.38376273,366.79,390.915701934,0,67296.03,64111.0594985,18110.33552,18001.6014529,16339.47922,15685.6012603,20924.50281,19963.3904939,2857.476909,2931.86776451,459.2645752,476.677150269,4557.000533,4643.27711096,1030.571,655.42660973,1840.364,1753.21765593
2022,1.149803922,1.21107547444,40836.53835,40930.9073726,35694.16888,34411.7311982,3541.180611,4684.56617347,485.020055153,1092.26083103,236.215863891,186.9221022,219.986262679,4038335253290,4934277335670,10972091270000,1255.5404,1219.32284881,370.99,396.164447728,0,68761.37083,65289.169929,18287.56558,18281.8181475,16338.43845,16032.3448799,21693.96964,19987.122846,2732.336524,2971.23335796,486.3300724,497.842509251,4594.11487,4689.19166342,1294.481,821.276939806,2098.332,2008.33958518
2023,,1.24595193383,,41431.0762242,,34744.4544269,,4740.77214444,593.649574855,1237.26533623,244.731596161,199.0139564,227.70095534,4084928443870,5014054885180,10979875409600,,1229.80689311,,401.278107861,0,70412.34686,66584.3529704,18640.19864,18594.1435115,16405.25727,16409.1460756,22321.63636,20044.6111812,2791.708855,3009.58580896,539.0282455,517.178944674,4505.775136,4729.51051187,,1005.21762136,,2274.95931516
2024,,1.2807652511,,41974.8369521,,35115.0739076,,4797.11967999,710.973802182,1385.8994214,252.555568198,,234.802871296,4136506523390,5101159503750,11001763474000,,1238.84719034,,406.202043112,0,,67948.7099496,,18925.8155247,,16802.8858694,,20121.930569,,3046.51532334,,535.15190148,,4764.27709271,,1203.88091654,,2548.25275246
2025,,1.30898774678,,42465.7273857,,35479.9337809,,4821.30839818,833.966350808,1534.33473454,259.344210963,,241.255483254,4187392255990,5188360509550,11025946859200,,1246.20697615,,410.700372398,0,,69295.7116603,,19251.2952128,,17189.4473671,,20197.1551157,,3080.25279298,,551.657298407,,4792.58087321,,1412.1422923,,2821.18070772
2026,,1.33277456865,,42477.567375,,35643.6883613,,4603.51237443,999.350625923,1728.0074092,246.791937628,,232.690689563,4189398390460,5232506814620,11023398647400,,1237.7902497,,461.194694114,0,,70678.6144137,,19371.3354554,,17448.7414372,,20236.4877925,,3458.96020585,,533.405638801,,4760.21237985,,1692.18492129,,3177.28658284
2027,,1.35390258826,,42513.1641196,,35765.4985736,,4492.77614582,1166.40549673,1918.77221058,234.734160116,,222.529851235,4194502135530,5280496353680,11035828722300,,1226.70097364,,516.547550521,0,,72066.2966609,,19479.6407763,,17696.8014709,,20283.4707911,,3874.1066289,,511.608926204,,4717.56597092,,1975.05634407,,3528.04575242
2028,,1.37370483379,,42417.6985374,,35771.7010852,,4399.85944745,1329.72327811,2098.87996048,223.264873709,,212.43271274,4190209072200,5314263629970,11032070596600,,1214.38613307,,573.740920125,0,,73268.1285713,,19528.1806933,,17880.2667828,,20285.697325,,4303.05690094,,489.910886048,,4670.20636652,,2251.59981125,,3859.20980542
2029,,1.39377675295,,42200.1685044,,35676.5307183,,4302.89318357,1487.59322629,2266.91322323,212.355397871,,202.711848476,4176321770700,5333520902450,11001526506600,,1202.18549224,,633.06304647,0,,74282.7108054,,19520.7940962,,18000.0637683,,20234.7139604,,4747.97284853,,468.789137704,,4623.285944,,2518.91854694,,4168.17250335
2030,,1.41412443563,,41940.4322307,,35526.2209492,,4210.13144703,1643.04400414,2426.11624538,201.978412023,,193.30935454,4157314888170,5344700990410,10950276663100,,1190.1039881,,696.410617087,0,,75197.4159462,,19480.9833222,,18078.7353109,,20146.7104355,,5223.07962815,,448.043579712,,4576.82368951,,2782.14093903,,4460.89904117
2031,,1.43456189906,,41480.4850874,,35118.2454767,,4142.93324476,1801.37993613,2580.12809717,192.107946596,,184.092000246,4094606473220,5356403591240,10889091618100,,1181.13427444,,766.770015727,0,,75873.6349835,,19201.8035556,,18136.3273894,,20020.2528201,,5750.77511795,,427.818252109,,4542.32855433,,3050.24871788,,4744.08057597
2032,,1.45508546013,,40911.1952529,,34458.8852739,,4179.91408405,1979.77211378,2746.97090703,187.342603336,,178.771201431,3960919698190,5379410591130,10797344807700,,1183.39655173,,848.78878351,0,,76381.9480357,,18599.1923805,,18206.6813623,,19839.6569907,,6365.91587633,,416.300938964,,4551.02867163,,3352.31742656,,5050.85438864
2033,,1.47635997951,,40334.8414247,,33652.6044038,,4325.60004536,2175.56003474,2925.62072251,193.954764749,,183.341670028,3798350801460,5400841496490,10690365469000,,1192.66623207,,941.517255,0,,76855.2256446,,17837.7188512,,18257.3823437,,19621.152577,,7061.3794125,,427.735245451,,4586.67739897,,3683.84207768,,5379.33773813
2034,,1.49963661447,,39731.5413563,,32785.2024942,,4481.48822304,2388.39902618,3116.00683036,208.854582257,,195.608420024,3621467735560,5418871756800,10579532326000,,1206.57006266,,1045.25348193,0,,77378.5348383,,17001.8460014,,18284.9008326,,19381.3571186,,7839.4011145,,457.242288357,,4640.14783671,,4044.23904212,,5729.40060407
2035,,1.52669276856,,39141.1838965,,31934.1140114,,4620.29289464,2616.81237671,3316.07605401,230.977428068,,214.609564673,3448053647060,5432851709160,10456819755600,,1223.83667357,,1159.78088922,0,,78022.4189378,,16184.4089521,,18287.1373665,,19115.2068357,,8698.35666917,,502.482841597,,4706.550634,,4431.00782732,,6097.26781146
2036,,1.55440696254,,38536.4390238,,31098.6270933,,4726.21503362,2854.43426549,3518.34135186,259.212135022,,239.417865771,3280534546330,5441645127000,10328837081500,,1243.29954074,,1284.78958912,0,,78765.715556,,15393.5444004,,18260.8459007,,18829.9825039,,9635.92191842,,561.47895617,,4781.39964921,,4833.36928758,,6469.17293965
2037,,1.58131429109,,37900.0884826,,30275.0203273,,4802.97101635,3100.9437579,3724.51478317,293.149119904,,269.692060301,3119809918260,5444374251860,10192039992500,,1264.22578577,,1419.26211326,0,,79596.3747108,,14632.0352545,,18202.7377929,,18522.8046805,,10644.4658495,,633.410765889,,4861.87642684,,5250.77998929,,6848.26395138
2038,,1.60595022395,,37188.906937,,29455.2260362,,4842.37331929,3352.71058685,3932.40098326,331.724966244,,304.773024681,2966168505590,5438266290150,10044687297600,,1285.70312076,,1560.97800992,0,,80471.7851992,,13900.9310692,,18104.1836046,,18190.474018,,11707.3350744,,716.791795134,,4944.47254998,,5677.09285744,,7230.50423043
2039,,1.62873170177,,36383.1286057,,28634.0621079,,4846.76363955,3604.93849186,4138.41841669,373.99221881,,343.996966851,2819593718280,5421450612470,9885117480390,,1307.03968955,,1707.68260753,0,,81349.1251887,,13200.3840238,,17959.8679293,,17831.1507421,,12807.6195565,,810.080745782,,5026.52732375,,6104.18645855,,7609.30840892
2040,,1.6495848518,,35494.8366614,,27809.8590177,,4823.14535044,3853.23942979,4339.12045336,419.048903242,,386.639409364,2679919194310,5393212149970,9713250164660,,1327.79133851,,1857.53275062,0,,82197.0425647,,12530.0598036,,17768.7601908,,17445.8419836,,13931.4956297,,911.582549338,,5106.33265124,,6524.63058716,,7978.33916936
2041,,1.6681037663,,34570.4441708,,26987.2822376,,4793.3931001,4089.09048892,4525.48188329,466.889050673,,432.404641037,2546909871750,5354771771800,9532087494530,,1348.06974254,,2009.801978,0,,82990.2466394,,11889.3586704,,17536.9151926,,17040.5206506,,15073.514835,,1020.62389576,,5184.31800456,,6923.99352903,,8321.0018615
2042,,1.6854433928,,33683.4665785,,26178.498753,,4786.7856917,4314.95873572,4700.19568308,518.867089005,,481.94304312,2420301159080,5301340161310,9347234730480,,1368.72095428,,2165.69275479,0,,83763.348416,,11277.5246831,,17265.757875,,16626.2134488,,16242.6956609,,1138.71888097,,5263.73707721,,7306.45272956,,8642.24806041
2043,,1.70293653834,,32862.4552422,,25383.9762913,,4798.70455835,4532.99971316,4866.36161466,573.615046023,,534.02817189,2299818985490,5244971634550,9160208107420,,1389.16971278,,2325.61594372,0,,84546.1297721,,10693.7082902,,16975.0848793,,16206.4117517,,17442.1195779,,1262.99227104,,5342.3775685,,7675.65813623,,8947.77729723
