Year,="Calibration Data: Energy Balance Model.Surface Temperature Anomaly[1]",="Run 1: Energy Balance Model.Surface Temperature Anomaly[1]",="Calibration Data: Emissions.Total CO2 Emissions[1]",="Run 1: Emissions.Total CO2 Emissions[1]",="Calibration Data: Emissions.CO2 emissions from Energy[1]",="Run 1: Emissions.CO2 emissions from Energy[1]",="Calibration Data: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: Emissions.CO2 Emissions from Food and Land Use[1]",="Run 1: solar energy.Current Solar Capacity[1]",="Run 1: wind energy.Current Wind Capacity[1]",="Run 1: bio fuel energy.bio fuel production Capacity[1]",="Calibration Data: bio fuel energy.bio fuel production[1]",="Run 1: bio fuel energy.bio fuel production[1]",="Run 1: fossil energy coal.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy gas.Fossil Energy and Fuel Capital[1]",="Run 1: fossil energy oil.Fossil Energy and Fuel Capital[1]",="Calibration Data: hydropower energy.Hydropower Energy Capacity[1]",="Run 1: hydropower energy.Hydropower Energy Capacity[1]",="Calibration Data: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: nuclear energy.Nuclear Energy Capacity[1]",="Run 1: CCS.Storing CO2[1]",="Calibration Data: energy supply.Total Energy Output[1]",="Run 1: energy supply.Total Energy Output[1]",="Calibration Data: fossil energy coal.Secondary Fossil Energy Output[1]",="Run 1: fossil energy coal.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy gas.Secondary Fossil Energy Output[1]",="Run 1: fossil energy gas.Secondary Fossil Energy Output[1]",="Calibration Data: fossil energy oil.Secondary Fossil Energy Output[1]",="Run 1: fossil energy oil.Secondary Fossil Energy Output[1]",="Calibration Data: nuclear energy.Nuclear Energy Output[1]",="Run 1: nuclear energy.Nuclear Energy Output[1]",="Calibration Data: bio fuel energy.bio fuel secondary energy output[1]",="Run 1: bio fuel energy.bio fuel secondary energy output[1]",="Calibration Data: hydropower energy.Hydropower Energy Output[1]",="Run 1: hydropower energy.Hydropower Energy Output[1]",="Calibration Data: solar energy.Solar Energy Output[1]",="Run 1: solar energy.Solar Energy Output[1]",="Calibration Data: wind energy.Wind Energy Output[1]",="Run 1: wind energy.Wind Energy Output[1]"
2018,1.109803922,1.11022776878,40576.7994,40073.8207013,35177.35001,33657.410708,3844.874479,4814.20308956,171.207820102,621.229310367,197.402942205,170.5508059,183.196567524,3944910021610,4704893509400,11082527727800,1173.3864,1160.31561945,374.11,376.230552177,0,64852.09954,61256.3028877,17607.56083,17420.9127718,15386.63798,14761.1867149,21489.64781,19950.0848434,2752.550182,2821.72914133,417.5540758,407.966226672,4449.142015,4462.26553942,560.036,289.903547432,1258.926,1142.25410272
2019,1.234803922,1.13208742524,40892.68994,40132.2722671,35482.60497,33788.604959,3786.898474,4720.41156739,229.279670639,713.825935169,207.078421192,176.8486547,192.618426405,3951973861960,4756934661180,11057235674100,1191.478,1178.37752099,369.59,380.744901947,0,65833.62458,62128.762672,17570.97822,17569.8213566,15752.21894,15066.8468429,21610.05199,19973.258653,2850.142322,2855.5867646,451.2439315,430.775047739,4507.796003,4531.7268131,689.902,388.23571162,1412.636,1312.51148243
2020,1.264803922,1.15277606911,38567.0931,40270.2088171,33489.62171,33941.067488,3439.134048,4660.46170868,301.03592933,824.322687658,216.966828237,168.1796857,202.127531722,3970610648070,4808701057580,11021179091500,1212.8989,1193.87705739,369.8,385.65444232,0,63783.76103,63066.2647994,17110.93125,17763.4333832,15661.60914,15369.7964345,19719.84489,19969.9604719,2741.550215,2892.4083174,432.9739155,453.910988809,4631.670441,4591.3339114,835.685,509.739471978,1588.319,1515.68182027
2021,1.109803922,1.18063539132,40546.16949,40536.5138433,35296.86765,34142.0750986,3552.92421,4654.33433299,387.074122419,953.50954977,226.942215907,175.9339038,211.429947808,3999337354180,4865754031190,10986615089200,1235.01,1207.38376272,366.79,390.915701918,0,67296.03,64111.0594985,18110.33552,18001.6014525,16339.47922,15685.6012603,20924.50281,19963.3904941,2857.476909,2931.86776438,459.2645752,476.677150113,4557.000533,4643.27711092,1030.571,655.426610429,1840.364,1753.21765576
2022,1.149803922,1.21107547444,40836.53835,40930.9073723,35694.16888,34411.731198,3541.180611,4684.56617345,485.020055622,1092.26083091,236.215863815,186.9221022,219.986262607,4038335253220,4934277335670,10972091270100,1255.5404,1219.3228488,370.99,396.16444771,0,68761.37083,65289.1699291,18287.56558,18281.8181472,16338.43845,16032.3448799,21693.96964,19987.1228462,2732.336524,2971.23335782,486.3300724,497.842509089,4594.11487,4689.19166337,1294.481,821.2769406,2098.332,2008.33958497
2023,,1.24595193383,,41431.0762239,,34744.4544266,,4740.77214442,593.649575378,1237.2653361,244.731596084,199.0139564,227.700955267,4084928443800,5014054885180,10979875409700,,1229.8068931,,401.278107842,0,70412.34686,66584.3529704,18640.19864,18594.1435111,16405.25727,16409.1460757,22321.63636,20044.6111814,2791.708855,3009.58580881,539.0282455,517.178944508,4505.775136,4729.51051182,,1005.21762225,,2274.95931491
2024,,1.28076525109,,41974.8369518,,35115.0739073,,4797.11967997,710.973802754,1385.89942124,252.55556812,,234.802871222,4136506523310,5101159503740,11001763474100,,1238.84719033,,406.202043092,0,,67948.7099496,,18925.8155243,,16802.8858694,,20121.9305691,,3046.51532319,,535.15190131,,4764.27709265,,1203.88091751,,2548.25275216
2025,,1.30898774678,,42473.7361385,,35482.7972986,,4826.45367571,833.966351425,1534.33473435,259.632240049,,241.446106077,4188040065190,5189008318820,11026594668500,,1246.35319353,,410.804213966,0,,69302.7845841,,19253.8864458,,17191.2328382,,20198.0697948,,3081.03160475,,552.097713485,,4793.14318638,,1412.14229334,,2821.18070738
2026,,1.33282378973,,42847.139295,,35808.5286364,,4808.71295038,959.05313291,1678.57871502,265.930523319,,247.738884691,4235027806670,5271217609420,11043508685200,,1252.30582862,,414.96233224,0,,70568.3896007,,19556.7246452,,17551.9656208,,20252.8494469,,3112.2174918,,568.245094661,,4816.03543912,,1623.94980113,,3086.40206117
2027,,1.35397589271,,43061.3543919,,36071.0827567,,4737.82228095,1083.25665476,1816.21772621,271.53101444,,253.79377389,4275027327360,5344241701840,11046536042100,,1256.86106043,,418.65652783,0,,71700.4312495,,19822.1218872,,17872.0218261,,20275.23634,,3139.92395872,,583.833028109,,4833.5536502,,1834.26169907,,3339.47886003
2028,,1.37376978892,,43133.1344262,,36265.0876046,,4625.46352504,1205.09765324,1946.08849507,276.54426764,,259.609087207,4307545151680,5407070817350,11034575930900,,1260.24422079,,421.92617173,0,,72685.2100452,,20046.7409702,,18146.8337929,,20262.9287975,,3164.44628798,,598.8504432,,4846.56438595,,2040.57317281,,3578.2721946
2029,,1.39389956692,,43120.2448049,,36403.7632066,,4498.02058265,1324.52358321,2068.31300049,281.186572977,,265.156213917,4334297710860,5461699339110,11011309727800,,1262.76560939,,424.900766668,0,,73544.8171948,,20237.7514938,,18382.1458551,,20222.883735,,3186.75575001,,613.217788535,,4856.26097648,,2242.79524849,,3803.00634741
2030,,1.41435686413,,43110.084214,,36518.379799,,4386.94688836,1443.27335901,2184.38545662,285.733036214,,270.434052676,4359228493900,5513018785800,10985454001600,,1264.78069974,,427.785205049,0,,74337.7433647,,20412.931949,,18593.8659256,,20171.3214914,,3208.38903787,,626.923350042,,4864.0104785,,2443.8724028,,4016.42872948
2031,,1.43501502033,,43183.3618249,,36639.8538114,,4320.1056659,1563.45525352,2296.43565458,290.414760229,,275.434045082,4386280716820,5565970383280,10965922121900,,1266.57135272,,430.770104974,0,,75124.5476097,,20590.3110374,,18798.191114,,20124.5953014,,3230.77578731,,639.947587128,,4870.89685403,,2647.37454151,,4222.45538693
2032,,1.45602798363,,43376.0678479,,36787.9463628,,4308.60885211,1686.06443122,2406.88037981,295.430796079,,280.272236399,4417991231160,5623830114840,10958252744600,,1268.33123726,,434.005997352,0,,75946.0080218,,20781.6606672,,19005.5157288,,20093.0505306,,3255.04498014,,652.5543892,,4877.6649023,,2854.98676122,,4425.53006229
2033,,1.47782159788,,43685.9928868,,36974.9858815,,4344.0608918,1812.49912819,2517.44956996,300.952789203,,285.187443117,4456016618720,5688705185820,10965922558100,,1270.19901987,,437.619672865,0,,76830.166087,,20994.6590807,,19222.1495611,,20083.1557811,,3282.14754649,,665.295955024,,4884.84789791,,3069.07667339,,4628.83359122
