,Variable,Scenario,Percentile,2040,2070,2100
129,Capacity|Electricity|Nuclear,HD_D4,50,0.4818974614003913,6.078697968206208,9.787539768537533
130,Capacity|Electricity|Nuclear,HD_D4,5,-0.3335547139222838,4.421903420382829,7.65795372506482
131,Capacity|Electricity|Nuclear,HD_D4,95,1.0930551889302618,7.095658803873141,11.48565400383507
132,Capacity|Geothermal,HD_D4,50,,,
133,Capacity|Geothermal,HD_D4,5,,,
134,Capacity|Geothermal,HD_D4,95,,,
135,Capacity|Electricity|Solar,HD_D4_20_10,50,-7.368633087425655,-3.868706361880237,-2.9275653146904475
136,Capacity|Electricity|Solar,HD_D4_20_10,5,-8.65903535768807,-6.568426308690066,-6.680883255871274
137,Capacity|Electricity|Solar,HD_D4_20_10,95,-4.652322995379623,-0.45166035139757543,1.8515574946939621
138,Capacity|Electricity|Wind,HD_D4_20_10,50,-8.468545560235034,-4.08387422979396,-2.1419480831644315
139,Capacity|Electricity|Wind,HD_D4_20_10,5,-9.77100777328738,-6.869027440786358,-5.985129229572371
140,Capacity|Electricity|Wind,HD_D4_20_10,95,-6.460048416216948,-0.6380279628448293,2.9633340224330715
141,Capacity|Biomass,HD_D4_20_10,50,23.989406734464726,29.121505724369356,27.716905407147173
142,Capacity|Biomass,HD_D4_20_10,5,19.84362546842758,24.296125564620127,22.8438863346839
143,Capacity|Biomass,HD_D4_20_10,95,31.098569648838605,36.087240695478755,35.11901096108322
144,Capacity|Coal,HD_D4_20_10,50,4.187382489930334,4.237217869390048,116.61057176405978
145,Capacity|Coal,HD_D4_20_10,5,3.621345752597125,3.664860112352088,11.512689721373077
146,Capacity|Coal,HD_D4_20_10,95,5.076476719020331,5.133138871877984,245.94817047939208
147,Capacity|Gas,HD_D4_20_10,50,7.4532133571423005,33.63219290946115,44.911088800532056
148,Capacity|Gas,HD_D4_20_10,5,6.66731812940154,27.084805069429496,34.068712934745705
149,Capacity|Gas,HD_D4_20_10,95,8.746100217678599,45.2846623641032,71.0841687365473
150,Capacity|Oil,HD_D4_20_10,50,4.662677957408493,31.004236254829046,51.155448761417034
151,Capacity|Oil,HD_D4_20_10,5,4.201504427628474,27.763184853495993,42.451447384320865
152,Capacity|Oil,HD_D4_20_10,95,5.562782798758369,35.44577876678567,64.61138263853017
153,Capacity|Electricity|Hydro,HD_D4_20_10,50,-3.3602876745893355,3.338399561544083,5.026453940525658
154,Capacity|Electricity|Hydro,HD_D4_20_10,5,-3.6556419017789956,2.489783513506974,3.942025598272608
155,Capacity|Electricity|Hydro,HD_D4_20_10,95,-2.854816645126219,4.545636967676274,6.436660383520244
156,Capacity|Electricity|Nuclear,HD_D4_20_10,50,3.0377755075436346,10.235835536507457,14.373695504616364
157,Capacity|Electricity|Nuclear,HD_D4_20_10,5,2.038965894320492,8.871894589524425,12.378831973346543
158,Capacity|Electricity|Nuclear,HD_D4_20_10,95,5.81613985682311,11.910982511303834,16.47557615229401
159,Capacity|Geothermal,HD_D4_20_10,50,,,
160,Capacity|Geothermal,HD_D4_20_10,5,,,
161,Capacity|Geothermal,HD_D4_20_10,95,,,
