access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,%(DERP2 - DERP4)
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,291.204,2030,0.377756735,0.316363776,0.06139,,,-6.86%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,307.522,2040,0.649287444,0.519178218,0.13011,,,-10.54%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,316.968,2050,0.957980438,0.729995551,0.22798,,,-14.64%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,319.428,2060,1.190389396,0.8617601,0.32863,,,-19.31%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,317.879,2070,1.31718672,0.906631313,0.41056,,,-24.13%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,313.51,2080,1.45726011,0.953185451,0.50407,,,-29.30%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,306.374,2090,1.54476618,0.95783288,0.58693,,,-35.08%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Indonesia,297.128,2100,1.557749944,0.914980261,0.64277,,,-41.26%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,473.475,2030,0.614202998,0.514382833,0.09982,,,-6.86%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,501.062,2040,1.05791867,0.845924766,0.21199,,,-10.54%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,518.105,2050,1.565881902,1.193225641,0.37266,,,-14.64%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,525.536,2060,1.958477283,1.417802935,0.54067,,,-19.30%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,524.492,2070,2.173323488,1.495917852,0.67741,,,-24.13%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,517.246,2080,2.404267688,1.572617658,0.83165,,,-29.31%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,505.722,2090,2.549897322,1.581064842,0.96883,,,-35.07%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Southeast Asia,491.377,2100,2.576137202,1.513153441,1.06298,,,-41.25%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,51.345,2030,0.066605952,0.055781164,0.01082,,,-6.89%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,49.461,2040,0.104429622,0.083503209,0.02093,,,-10.53%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,45.989,2050,0.138993723,0.105915314,0.03308,,,-14.68%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,41.133,2060,0.153287398,0.11096954,0.04232,,,-19.28%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,36.154,2070,0.149810364,0.103115803,0.04669,,,-24.18%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,31.621,2080,0.146981028,0.096139444,0.05084,,,-29.27%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,27.59,2090,0.139111344,0.086256044,0.05286,,,-35.08%
projected,EN_NPi2100,tm23ts23,0.95,PAS,South Korea,24.244,2100,0.127103772,0.074657324,0.05245,,,-41.29%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,24.029,2030,0.031170989,0.026105085,0.00507,,,-6.85%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,23.651,2040,0.049935606,0.039929124,0.01001,,,-10.57%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,22.515,2050,0.068047656,0.051853341,0.01619,,,-14.66%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,21.014,2060,0.078311365,0.056692046,0.02162,,,-19.34%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,19.37,2070,0.080262952,0.055245702,0.02502,,,-24.05%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,17.7,2080,0.082273305,0.053814495,0.02846,,,-29.30%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,16.289,2090,0.082130652,0.050925143,0.03121,,,-35.00%
projected,EN_NPi2100,tm23ts23,0.95,PAS,Taiwan,15.282,2100,0.080118786,0.047059612,0.03306,,,-41.25%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2070.824,2030,"16,251,235,499,015,100",1.474373087,0.15075,10.22%,,5.48%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2244.759,2040,"2,834,746,195,801,960",2.436542202,0.3982,16.34%,,7.59%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2371.909,2050,"54,135,971,147,760,200",4.411296864,1.0023,22.72%,,9.82%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2452.97,2060,"8,969,436,883,386,490",6.921150027,2.04829,29.59%,,12.22%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2489.181,2070,"1,247,070,669,433,270",9.113187008,3.35752,36.84%,,14.73%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2477.886,2080,"1,502,354,035,855,310",10.39838801,4.62515,44.48%,,17.38%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2429.279,2090,"16,202,332,647,666,400",10.60949949,5.59283,52.72%,,20.23%
projected,EN_NPi2100,tm23ts23,0.95,SAS,,2357.674,2100,"1,641,826,777,743,920",10.16498454,6.25328,61.52%,,23.27%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,289.922,2030,0.227522508,0.20641696,0.02111,,,-4.76%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,316.773,2040,0.400030051,0.343836814,0.05619,,,-8.76%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,337.751,2050,0.770876049,0.62815223,0.14272,,,-12.90%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,352.352,2060,1.288396933,0.994174839,0.29422,,,-17.38%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,358.931,2070,1.798231316,1.314088982,0.48414,,,-22.11%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,357.754,2080,2.169079472,1.501305914,0.66777,,,-27.10%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,349.951,2090,2.334035124,1.52835675,0.80568,,,-32.49%
projected,EN_NPi2100,tm23ts23,0.95,SAS,South Asia,337.502,2100,2.350281766,1.455121705,0.89516,,,-38.25%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1509.3,2030,1.184455547,1.074582533,0.10987,,,-4.75%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1607.76,2040,2.030325547,1.745120563,0.2852,,,-8.75%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1668.48,2050,3.808104996,3.103053528,0.70505,,,-12.90%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1694.79,2060,6.197104708,4.78191574,1.41519,,,-17.38%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1691.27,2070,8.473201471,6.191940156,2.28126,,,-22.11%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1657.29,2080,10.04822788,6.954776963,3.09345,,,-27.10%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1601.09,2090,10.67863871,6.992512405,3.68613,,,-32.49%
projected,EN_NPi2100,tm23ts23,0.95,SAS,India,1533.4,2100,10.6782243,6.611171557,4.06705,,,-38.25%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,271.602,2030,0.213145495,0.193373594,0.01977,,,-4.75%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,320.226,2040,0.404390598,0.347584825,0.05681,,,-8.76%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,365.678,2050,0.834616069,0.680091106,0.15452,,,-12.91%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,405.828,2060,1.483935242,1.145059448,0.33888,,,-17.38%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,438.98,2070,2.199273908,1.607157869,0.59212,,,-22.11%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,462.842,2080,2.806233001,1.942305136,0.86393,,,-27.10%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,478.238,2090,3.189658809,2.088630338,1.10103,,,-32.49%
projected,EN_NPi2100,tm23ts23,0.95,SAS,Pakistan,486.772,2100,3.389761707,2.098691275,1.29107,,,-38.25%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,434.016,2030,"1,836,628,820,857,130",1.378491078,0.45814,0.33,,20.25%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,437.957,2040,2.208662673,1.461728315,0.74693,0.51,,28.98%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,437.973,2050,"2,455,325,761,875,500",1.470658827,0.98467,0.67,,34.91%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,433.49,2060,"26,488,355,112,413,600",1.379226585,1.26961,0.92,,48.75%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,429.317,2070,"2,784,440,019,257,680",1.275462887,1.50898,1.18,,62.76%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,427.559,2080,"2,884,505,426,471,470",1.172975268,1.71153,1.46,,77.11%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,426.578,2090,"2,966,342,961,816,670",1.076349592,1.88999,1.76,,92.48%
projected,EN_NPi2100,tm23ts23,0.95,WEU,,426.335,2100,"30,216,362,852,421,100",0.983484726,2.03815,2.07,,108.78%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,349.22,2030,1.47779694,1.10916799,0.36863,33.20%,,20.25%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,350.904,2040,1.769645345,1.17117962,0.59847,51.10%,,28.98%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,349.353,2050,1.958512102,1.173083896,0.78543,67.00%,,34.90%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,344.459,2060,2.10481264,1.095958408,1.00885,92.10%,,48.76%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,340.144,2070,2.206086798,1.01053778,1.19555,118.30%,,62.76%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,338.226,2080,2.281824806,0.927897046,1.35393,145.90%,,77.11%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,337.522,2090,2.347064333,0.851641826,1.49542,175.60%,,92.47%
projected,EN_NPi2100,tm23ts23,0.95,WEU,EU-15,337.515,2100,2.392127249,0.778591595,1.61354,207.20%,,108.78%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,84.796,2030,0.358831881,0.269323088,0.08951,,,-13.00%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,87.053,2040,0.439017327,0.290548695,0.14847,,,-22.13%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,88.62,2050,0.49681366,0.297574931,0.19924,,,-32.06%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,89.031,2060,0.544022871,0.283268177,0.26075,,,-43.32%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,89.173,2070,0.578353221,0.264925107,0.31343,,,-55.56%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,89.333,2080,0.60268062,0.245078222,0.3576,,,-68.79%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,89.056,2090,0.619278629,0.224707766,0.39457,,,-83.13%
projected,EN_NPi2100,tm23ts23,0.95,WEU,European Free Trade Association,88.82,2100,0.629509036,0.204893132,0.42462,,,-98.44%
