access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,%(DERP2 - DERP4)
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,100.181,2030,0.256152683,0.171677462,0.08448,,,-3.84%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,96.133,2040,0.332830387,0.183361301,0.14947,,,-17.91%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,92.148,2050,0.384494835,0.178409016,0.20609,,,-32.75%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,88.29,2060,0.437201424,0.173256056,0.26395,,,-48.78%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,84.469,2070,0.471462159,0.161991617,0.30947,,,-65.61%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,81.299,2080,0.494037101,0.148756632,0.34528,,,-83.49%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,79.448,2090,0.51235291,0.135963045,0.37639,,,-102.97%
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,78.82,2100,0.529405529,0.124504965,0.4049,,,-124.10%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,50.835,2030,0.129979953,0.087114561,0.04287,,,-3.84%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,47.69,2040,0.16511168,0.090962526,0.07415,,,-17.95%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,44.449,2050,0.185466976,0.086058323,0.09941,,,-32.69%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,40.812,2060,0.202096098,0.080087509,0.12201,,,-48.84%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,37.256,2070,0.207943674,0.07144822,0.1365,,,-65.57%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,34.159,2080,0.207577133,0.062502341,0.14507,,,-83.45%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,31.654,2090,0.204133761,0.054170958,0.14996,,,-103.03%
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,29.468,2100,0.197925934,0.046547987,0.15138,,,-123.99%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,247.336,2030,0.190227384,0.134693969,0.05553,41.20%,,33.92%
projected,EN_NPi2100,tm23ts23,0.95,FSU,,252.982,2040,0.268343705,0.168324778,0.10002,59.40%,,44.65%
